Sport,Event Time,Home Team,Away Team,Home Score,Away Score,Status,Game ID
ATP Australian Open,2025-01-16T05:00:00Z,Alex Michelsen,James McCabe,,,Scheduled,61dd50055280e6abcf707e599374e319
ATP Australian Open,2025-01-16T05:22:00Z,Fabian Marozsan,Frances Tiafoe,,,Scheduled,e740b781da8014134d1a01fef09971b5
ATP Australian Open,2025-01-16T05:50:00Z,Joao Fonseca,Lorenzo Sonego,,,Scheduled,8dab6614a8fbe00541e3a3ed40c60262
ATP Australian Open,2025-01-16T06:30:00Z,Matteo Berrettini,Holger Rune,,,Scheduled,48179a14c2796a744c5d7b2078d4724e
ATP Australian Open,2025-01-16T08:00:00Z,Jannik Sinner,Tristan Schoolkate,,,Scheduled,a080258188bff35b2f1bdcf971cf8a47
ATP Australian Open,2025-01-16T10:00:00Z,Learner Tien,Daniil Medvedev,,,Scheduled,cf5ba7f430931f8549d614bde15cebfb
ATP Australian Open,2025-01-17T00:00:00Z,Jakub Mensik,Alejandro Davidovich Fokina,,,Scheduled,2944d0372cc1da954b57c62f3db91b67
ATP Australian Open,2025-01-17T00:00:00Z,Jack Draper,Aleksandar Vukic,,,Scheduled,cd5eaec72786670f682cb679854a85ef
ATP Australian Open,2025-01-17T00:00:00Z,Jacob Fearnley,Alexander Zverev,,,Scheduled,a29fb0c26f0f3d07998bbe53c928f20c
ATP Australian Open,2025-01-17T00:00:00Z,Ugo Humbert,Arthur Fils,,,Scheduled,7c646bef14acd39aa6bf74991b9ca8f3
ATP Australian Open,2025-01-17T00:00:00Z,Jiri Lehecka,Benjamin Bonzi,,,Scheduled,e60e5a495aec582791757c02ea95492e
ATP Australian Open,2025-01-17T00:00:00Z,Nuno Borges,Carlos Alcaraz,,,Scheduled,3c516a8e12ddfe696765386b3d1ca74a
ATP Australian Open,2025-01-17T00:00:00Z,Novak Djokovic,Tomas Machac,,,Scheduled,ef9cd7e0449878f65ce688b25adafe87
ATP Australian Open,2025-01-17T00:00:00Z,Roberto Carballes Baena,Tommy Paul,,,Scheduled,8742bd93ca5a0484bba57e2075bbb336
WTA Australian Open,2025-01-16T06:00:00Z,Elina Svitolina,Caroline Dolehide,,,Scheduled,31480f8e637cfa5add32a7c6baa82603
WTA Australian Open,2025-01-16T07:00:00Z,Veronika Kudermetova,Katie Boulter,,,Scheduled,a6cdf12e4000d40cdee0516ff4759876
WTA Australian Open,2025-01-16T07:30:00Z,Destanee Aiava,Danielle Collins,,,Scheduled,c22c3981a60f98d24a1fc54f80500e20
WTA Australian Open,2025-01-16T08:00:00Z,Madison Keys,Elena Gabriela Ruse,,,Scheduled,226cf2b25042a38f18198bf430d747ee
WTA Australian Open,2025-01-16T09:40:00Z,Renata Zarazua,Jasmine Paolini,,,Scheduled,a803301c09187a8a3a602bd7d95e35ab
WTA Australian Open,2025-01-17T00:00:00Z,Anastasia Pavlyuchenkova,Laura Siegemund,,,Scheduled,acca1f1ac8c437e36b9a1ddd80566436
WTA Australian Open,2025-01-17T00:00:00Z,Aryna Sabalenka,Clara Tauson,,,Scheduled,72e7a39049504824e8ac9b58518588ef
WTA Australian Open,2025-01-17T00:00:00Z,Naomi Osaka,Belinda Bencic,,,Scheduled,a69fc75dc446bea403e1515c7c9a7219
WTA Australian Open,2025-01-17T00:00:00Z,Coco Gauff,Leylah Fernandez,,,Scheduled,803e087c156478e424e3248e5c8e662c
WTA Australian Open,2025-01-17T00:00:00Z,Diana Shnaider,Donna Vekic,,,Scheduled,6e7ba31b708c420feb8b0a9256053ad4
WTA Australian Open,2025-01-17T00:00:00Z,Emma Raducanu,Iga Swiatek,,,Scheduled,c369696391367110912b171bd7cf072d
WTA Australian Open,2025-01-17T00:00:00Z,Olga Danilovic,Jessica Pegula,,,Scheduled,bf5dfc1bf79abaa2a2fcb53063f31e3a
WTA Australian Open,2025-01-17T00:00:00Z,Magdalena Frech,Mirra Andreeva,,,Scheduled,0af99084131e0448c46c71e19b9bf979
WTA Australian Open,2025-01-17T00:00:00Z,Paula Badosa,Marta Kostyuk,,,Scheduled,d4f5a55b0fc22b2b54c5e4719f9cb85c
NBL,2025-01-16T06:30:00Z,New Zealand Breakers,Tasmania JackJumpers,,,Scheduled,dce44322782ce929563e9e0e91eff35a
Big Bash,2025-01-16T08:30:00Z,Brisbane Heat,Hobart Hurricanes,,,Scheduled,abbf3d1ced13b6e94db5f130e76f1a59
NCAAB,2025-01-16T16:00:00Z,NJIT Highlanders,Maine Black Bears,,,Scheduled,a30260483b4d223f3dbb0a670ddd3db2
