Sport,Match Date,Home Team,Away Team,Home Team Odds,Away Team Odds,Bookmaker,Draw Odds,Compiled_At
AFL,2025-07-04 05:20:00,Carlton Blues,Collingwood Magpies,4.3,1.211,DraftKings,,2025-07-03 23:52:50
AFL,2025-07-04 05:20:00,Carlton Blues,Collingwood Magpies,4.75,1.167,Bovada,,2025-07-03 23:52:50
AFL,2025-07-04 05:20:00,Carlton Blues,Collingwood Magpies,4.5,1.2,BetUS,,2025-07-03 23:52:50
AFL,2025-07-04 06:20:00,West Coast Eagles,Greater Western Sydney Giants,3.35,1.323,DraftKings,,2025-07-03 23:52:50
AFL,2025-07-04 06:20:00,West Coast Eagles,Greater Western Sydney Giants,3.8,1.244,Bovada,,2025-07-03 23:52:50
AFL,2025-07-04 06:20:00,West Coast Eagles,Greater Western Sydney Giants,3.4,1.303,BetUS,,2025-07-03 23:52:50
AFL,2025-07-04 22:35:00,Essendon Bombers,Gold Coast Suns,3.4,1.312,DraftKings,,2025-07-03 23:52:50
AFL,2025-07-04 22:35:00,Essendon Bombers,Gold Coast Suns,3.8,1.244,Bovada,,2025-07-03 23:52:50
AFL,2025-07-04 22:35:00,Essendon Bombers,Gold Coast Suns,3.4,1.303,BetUS,,2025-07-03 23:52:50
Test Matches,2025-07-04 06:00:00,England,India,9.5,1.538,BetRivers,,2025-07-03 23:52:50
Test Matches,2025-07-04 10:00:00,West Indies,Australia,6.1,1.179,BetRivers,,2025-07-03 23:52:50
MMA,2025-07-04 12:00:00,Omar El Dafrawy,Daniele Miceli,1.167,4.5,BetOnline.ag,,2025-07-03 23:52:50
MMA,2025-07-04 12:00:00,Omar El Dafrawy,Daniele Miceli,1.238,4.3,FanDuel,,2025-07-03 23:52:50
NRL,2025-07-04 06:00:00,Canterbury Bulldogs,Brisbane Broncos,1.417,3.05,Bovada,,2025-07-03 23:52:50
NRL,2025-07-04 06:00:00,Canterbury Bulldogs,Brisbane Broncos,1.4,2.75,BetUS,,2025-07-03 23:52:50
NRL,2025-07-04 06:00:00,Canterbury Bulldogs,Brisbane Broncos,1.417,2.8,BetRivers,,2025-07-03 23:52:50
League of Ireland,2025-07-04 14:45:00,St Patricks Athletic,Bohemians,2.5,2.7,FanDuel,3.1,2025-07-03 23:52:50
League of Ireland,2025-07-04 14:45:00,St Patricks Athletic,Bohemians,2.55,2.85,DraftKings,3.2,2025-07-03 23:52:50
League of Ireland,2025-07-04 14:45:00,St Patricks Athletic,Bohemians,2.43,2.78,Bovada,3.2,2025-07-03 23:52:50
League of Ireland,2025-07-04 14:45:00,St Patricks Athletic,Bohemians,2.25,3.05,BetRivers,3.3,2025-07-03 23:52:50
League of Ireland,2025-07-04 14:45:00,St Patricks Athletic,Bohemians,2.35,2.75,BetMGM,3.2,2025-07-03 23:52:50
League of Ireland,2025-07-04 14:45:00,St Patricks Athletic,Bohemians,2.43,2.78,BetUS,3.2,2025-07-03 23:52:50
League of Ireland,2025-07-04 14:45:00,Shelbourne Dublin,Cork City,1.513,6.0,FanDuel,3.8,2025-07-03 23:52:50
League of Ireland,2025-07-04 14:45:00,Shelbourne Dublin,Cork City,1.526,6.0,DraftKings,4.0,2025-07-03 23:52:50
League of Ireland,2025-07-04 14:45:00,Shelbourne Dublin,Cork City,1.518,5.75,Bovada,3.95,2025-07-03 23:52:50
League of Ireland,2025-07-04 14:45:00,Shelbourne Dublin,Cork City,1.5,6.1,BetRivers,4.1,2025-07-03 23:52:50
League of Ireland,2025-07-04 14:45:00,Shelbourne Dublin,Cork City,1.526,5.5,BetMGM,3.8,2025-07-03 23:52:50
League of Ireland,2025-07-04 14:45:00,Shelbourne Dublin,Cork City,1.518,5.75,BetUS,3.95,2025-07-03 23:52:50
League of Ireland,2025-07-04 14:45:00,Derry City,Waterford FC,1.5,6.0,FanDuel,3.8,2025-07-03 23:52:50
League of Ireland,2025-07-04 14:45:00,Derry City,Waterford FC,1.556,6.0,DraftKings,4.0,2025-07-03 23:52:50
League of Ireland,2025-07-04 14:45:00,Derry City,Waterford FC,1.538,5.6,Bovada,3.95,2025-07-03 23:52:50
League of Ireland,2025-07-04 14:45:00,Derry City,Waterford FC,1.5,6.1,BetRivers,4.1,2025-07-03 23:52:50
League of Ireland,2025-07-04 14:45:00,Derry City,Waterford FC,1.541,5.25,BetMGM,3.9,2025-07-03 23:52:50
League of Ireland,2025-07-04 14:45:00,Derry City,Waterford FC,1.538,5.6,BetUS,3.95,2025-07-03 23:52:50
League of Ireland,2025-07-04 14:45:00,Drogheda United,Galway United,2.6,2.6,FanDuel,3.1,2025-07-03 23:52:50
League of Ireland,2025-07-04 14:45:00,Drogheda United,Galway United,2.65,2.65,DraftKings,3.25,2025-07-03 23:52:50
League of Ireland,2025-07-04 14:45:00,Drogheda United,Galway United,2.6,2.63,Bovada,3.15,2025-07-03 23:52:50
League of Ireland,2025-07-04 14:45:00,Drogheda United,Galway United,2.63,2.63,BetRivers,3.2,2025-07-03 23:52:50
League of Ireland,2025-07-04 14:45:00,Drogheda United,Galway United,2.5,2.6,BetMGM,3.1,2025-07-03 23:52:50
League of Ireland,2025-07-04 14:45:00,Drogheda United,Galway United,2.6,2.63,BetUS,3.15,2025-07-03 23:52:50
