Sport,Match Date,Home Team,Away Team,Home Score,Away Score,Status,Game ID
AFL,20250315,Sydney Swans,Brisbane Lions,82,86,Completed,99340ded9f633c29b3b78ef55574577a
AFL,20250315,Collingwood Magpies,Port Adelaide Power,136,45,Completed,56ce373e3cfa68da0f110bc168622fc4
AFL,20250315,Western Bulldogs,North Melbourne Kangaroos,113,97,Completed,d7fca9a86c8031ea0dfc6be8e8741f00
AFL,20250315,Adelaide Crows,St Kilda Saints,,,Unknown,e3446f388a77cd1105addc7bc98e3503
NBA,20250315,Brooklyn Nets,Boston Celtics,113,115,Completed,6d44f54f4f7dd906b61977e3736d0550
NBA,20250315,Detroit Pistons,Oklahoma City Thunder,107,113,Completed,27a840a12c2959c49a3cc3423f021cdf
NBA,20250315,Milwaukee Bucks,Indiana Pacers,126,119,Completed,6ee1dbf1f37c3648164a3d252aedff98
NBA,20250315,Memphis Grizzlies,Miami Heat,125,91,Completed,0231f7a057eef360df64342894b61169
NBA,20250315,Houston Rockets,Chicago Bulls,117,114,Completed,08fb6f00569c49483cd2bd39368d6a41
NBA,20250315,San Antonio Spurs,New Orleans Pelicans,119,115,Completed,16f2531aa8ae151a4b8c7c1844162160
NBA,20250315,Golden State Warriors,New York Knicks,97,94,Completed,200a00ca4f8d6e66887e24d7896bd5a6
NBA,20250315,Denver Nuggets,Washington Wizards,123,126,Completed,4352c62bf55b47d1afb0a297be10c8d5
NCAAB,20250315,Colorado St Rams,Utah State Aggies,83,72,Completed,b135bbad1cb4b24b5a84ce81246a5e77
NCAAB,20250315,Yale Bulldogs,Princeton Tigers,59,57,Completed,d285a538d0d4636acdb4bf277bc14e49
NCAAB,20250315,Bryant Bulldogs,Maine Black Bears,77,59,Completed,3728577332b98f8e6591159c737229b6
NCAAB,20250315,Auburn Tigers,Tennessee Volunteers,65,70,Completed,25758defc7be27938e17751d2809b6df
NCAAB,20250315,Norfolk St Spartans,South Carolina St Bulldogs,66,65,Completed,0c56e9c081674522355ee4d6d22b9312
NCAAB,20250315,Michigan St Spartans,Wisconsin Badgers,74,77,Completed,2c133883f765c9355d6536cc558a5ce7
NCAAB,20250315,VCU Rams,Loyola (Chi) Ramblers,62,55,Completed,77a6afe347344e3c4705ac7c267b94cb
NCAAB,20250315,Cornell Big Red,Dartmouth Big Green,87,71,Completed,c90704b11f21f6c81e72a8bf9d838722
