Sport,Match Date,Home Team,Away Team,Home Score,Away Score,Status,Game ID
AFL,20250619,Fremantle Dockers,Essendon Bombers,104,63,Completed,70185b5012cbc406dad649b3acd5ecb5
NBA,20250619,Indiana Pacers,Oklahoma City Thunder,108,91,Completed,97df12d0f134e8f46273fdd584d361c6
Test Matches,20250619,Sri Lanka,Bangladesh,,,Unknown,ae4dd3bd512d1cde8d5f850648a7f33a
