Sport,Match Date,Home Team,Away Team,Home Score,Away Score,Status,Game ID
AFL,20250406,Port Adelaide Power,St Kilda Saints,72,89,Completed,0677e320dbf198ecffbad0ad9fe8c445
AFL,20250406,Fremantle Dockers,Western Bulldogs,97,81,Completed,717813becaa9e4644a103f8661d2a986
NBA,20250406,Charlotte Hornets,Chicago Bulls,117,131,Completed,da030cf93b827cec27dad6fa16fdba4b
NBA,20250406,Brooklyn Nets,Toronto Raptors,109,120,Completed,fbedf11bd10d3974c5e59cfbf5be4d75
NBA,20250406,Oklahoma City Thunder,Los Angeles Lakers,99,126,Completed,ba52e4b4cf9bc5b1e764c62579196887
NBA,20250406,Boston Celtics,Washington Wizards,124,90,Completed,860812e24aec436b9e87056071b17c4c
NBA,20250406,Cleveland Cavaliers,Sacramento Kings,113,120,Completed,ef4f52957cad1e367474d3a1493c774b
NBA,20250406,Atlanta Hawks,Utah Jazz,147,134,Completed,9606baadc7950c5182357849dbad8d31
NBA,20250406,Portland Trail Blazers,San Antonio Spurs,120,109,Completed,c5f31c84b42ec3ca5f5a26ccbd408420
NBA,20250406,New York Knicks,Phoenix Suns,112,98,Completed,7930c0f8ba267a364c102cf71fddcbe2
NBA,20250406,Denver Nuggets,Indiana Pacers,120,125,Completed,024a6bcda2332ba2bfcc74eb212de61d
NBA,20250406,Golden State Warriors,Houston Rockets,96,106,Completed,39be07cec5bc30ecd00297327976cef1
NBA,20250406,New Orleans Pelicans,Milwaukee Bucks,107,111,Completed,f0d6c858f8d4fa694fa46f336027c721
NHL,20250406,New York Islanders,Washington Capitals,4,1,Completed,f5864f6defa54289ad3a481eaed1ac62
NHL,20250406,Minnesota Wild,Dallas Stars,3,2,Completed,216134aeef2d731604b71f62b82242b4
NHL,20250406,Ottawa Senators,Columbus Blue Jackets,4,0,Completed,7bc4450fc41b45dca62c6af05e7ff03b
NHL,20250406,Detroit Red Wings,Florida Panthers,2,1,Completed,629b1d39d8445ca91f70ae246c54b2ac
NHL,20250406,Buffalo Sabres,Boston Bruins,6,3,Completed,0a9b88d652e29d983eccb75f931e793b
NHL,20250406,Chicago Blackhawks,Pittsburgh Penguins,3,1,Completed,ce974b453fe9b4ed6739cafec8d321b5
NHL,20250406,Nashville Predators,Montréal Canadiens,1,2,Completed,8db7c35d1e80944a814d745ada256eea
NHL,20250406,Vancouver Canucks,Vegas Golden Knights,,,Unknown,8cdd88e8dbeb642a12ce73edafda1f27
NRL,20250406,Manly Warringah Sea Eagles,Melbourne Storm,24,48,Completed,7b479c802869474a5325efd6004e27d9
NRL,20250406,Canterbury Bulldogs,Newcastle Knights,20,0,Completed,caaf6a53d3d9ba4bf2a1d7212c1d0777
Primera División - Argentina,20250406,Union Santa Fe,Central Córdoba,1,0,Completed,ad0a55f9b7943960a930d0fb30564e68
Primera División - Argentina,20250406,Lanus,Independiente,1,1,Completed,72c27cde22355132d3a5a469a6481b71
Primera División - Argentina,20250406,Boca Juniors,Barracas Central,1,0,Completed,32b46a908398e3b803b816828e4b7f87
Primera División - Argentina,20250406,Racing Club,Banfield,4,1,Completed,c25e2fa28eeef0b789aa94c693c510de
Primera División - Argentina,20250406,Argentinos Juniors,Defensa y Justicia,4,1,Completed,da9f783f966f9df5a4fb8e834595d69f
A-League,20250406,Newcastle Jets FC,Wellington Phoenix FC,1,2,Completed,25ac4e392aa725901742821e3ee75a3c
Austrian Football Bundesliga,20250406,RB Salzburg,FC Blau-Weiß Linz,2,1,Completed,7541d05202d1a909e44061a8c7ca4576
Austrian Football Bundesliga,20250406,Austria Wien,Wolfsberger AC,0,0,Completed,d2b1ab334d7671c76d4d900e1d53167e
Belgium First Div,20250406,Royal Antwerp,Club Brugge,2,3,Completed,9ceeba19ce04e9e150ba9a4ca02bfe93
Belgium First Div,20250406,Sint Truiden,KV Kortrijk,0,3,Completed,5971d61267e317f6de993dec85b8a9c4
Belgium First Div,20250406,Anderlecht,Genk,1,2,Completed,8052a9055f16ba589ebbe7fe01cb4ddd
Belgium First Div,20250406,Charleroi,Standard Liege,1,0,Completed,0aec854fcfc9b9aefbc647fe912454a8
Denmark Superliga,20250406,Silkeborg IF,Lyngby,2,1,Completed,983a4887e2c1b98737332e533bd0db27
Denmark Superliga,20250406,Viborg FF,SonderjyskE,2,1,Completed,05b7a6413392c54243411f37d28422fd
