Sport,Match Date,Home Team,Away Team,Home Team Odds,Away Team Odds,Bookmaker,Compiled_At
AFL,2025-06-28 02:15:00,Hawthorn Hawks,North Melbourne Kangaroos,1.19,4.6,DraftKings,2025-06-27 23:48:04
AFL,2025-06-28 02:15:00,Hawthorn Hawks,North Melbourne Kangaroos,1.111,6.0,Bovada,2025-06-27 23:48:04
AFL,2025-06-28 02:15:00,Hawthorn Hawks,North Melbourne Kangaroos,1.167,5.0,BetUS,2025-06-27 23:48:04
AFL,2025-06-28 05:35:00,Collingwood Magpies,West Coast Eagles,1.033,11.0,DraftKings,2025-06-27 23:48:04
Boxing,2025-06-28 17:00:00,Shakan Pitters,Bradley Rea,2.55,1.5,DraftKings,2025-06-27 23:48:04
Boxing,2025-06-28 17:00:00,Shakan Pitters,Bradley Rea,2.32,1.588,LowVig.ag,2025-06-27 23:48:04
Boxing,2025-06-28 17:00:00,Shakan Pitters,Bradley Rea,2.6,1.526,BetUS,2025-06-27 23:48:04
Boxing,2025-06-28 17:00:00,Shakan Pitters,Bradley Rea,2.55,1.488,Bovada,2025-06-27 23:48:04
Boxing,2025-06-28 17:00:00,Shakan Pitters,Bradley Rea,2.32,1.588,BetOnline.ag,2025-06-27 23:48:04
Boxing,2025-06-28 17:00:00,John Ramirez,Saleto Henderson,1.143,5.5,DraftKings,2025-06-27 23:48:04
Boxing,2025-06-28 17:00:00,John Ramirez,Saleto Henderson,1.133,5.5,Bovada,2025-06-27 23:48:04
Boxing,2025-06-28 20:00:00,Floyd Scholfield,Tevin Farmer,1.4,2.9,DraftKings,2025-06-27 23:48:04
Boxing,2025-06-28 20:00:00,Floyd Scholfield,Tevin Farmer,1.444,2.85,BetUS,2025-06-27 23:48:04
Boxing,2025-06-28 20:00:00,Floyd Scholfield,Tevin Farmer,1.51,2.5,FanDuel,2025-06-27 23:48:04
Boxing,2025-06-28 20:00:00,Floyd Scholfield,Tevin Farmer,1.364,3.0,Bovada,2025-06-27 23:48:04
Boxing,2025-06-28 20:00:00,Floyd Scholfield,Tevin Farmer,1.444,2.71,BetOnline.ag,2025-06-27 23:48:04
Boxing,2025-06-28 20:00:00,Floyd Scholfield,Tevin Farmer,1.444,2.71,LowVig.ag,2025-06-27 23:48:04
Boxing,2025-06-28 20:00:00,Jean Pascal,Michal Cieslak,5.25,1.143,DraftKings,2025-06-27 23:48:04
Boxing,2025-06-28 20:00:00,Jean Pascal,Michal Cieslak,5.1,1.154,FanDuel,2025-06-27 23:48:04
Boxing,2025-06-28 20:00:00,Jean Pascal,Michal Cieslak,5.25,1.143,Bovada,2025-06-27 23:48:04
Boxing,2025-06-28 20:00:00,Jean Pascal,Michal Cieslak,5.61,1.133,BetOnline.ag,2025-06-27 23:48:04
Boxing,2025-06-28 20:00:00,Jean Pascal,Michal Cieslak,5.61,1.133,LowVig.ag,2025-06-27 23:48:04
Boxing,2025-06-28 20:00:00,Jean Pascal,Michal Cieslak,5.42,1.15,BetUS,2025-06-27 23:48:04
Boxing,2025-06-28 21:00:00,Avious Griffin,Julian Rodriguez,1.1,7.0,DraftKings,2025-06-27 23:48:04
Boxing,2025-06-28 21:00:00,Avious Griffin,Julian Rodriguez,1.09,7.0,BetRivers,2025-06-27 23:48:04
Boxing,2025-06-28 21:00:00,Avious Griffin,Julian Rodriguez,1.1,7.0,BetUS,2025-06-27 23:48:04
Boxing,2025-06-28 21:00:00,Avious Griffin,Julian Rodriguez,1.111,6.0,Bovada,2025-06-27 23:48:04
Boxing,2025-06-28 21:00:00,Avious Griffin,Julian Rodriguez,1.118,6.25,LowVig.ag,2025-06-27 23:48:04
Boxing,2025-06-28 21:00:00,Avious Griffin,Julian Rodriguez,1.118,5.8,FanDuel,2025-06-27 23:48:04
Boxing,2025-06-28 21:00:00,Avious Griffin,Julian Rodriguez,1.118,6.25,BetOnline.ag,2025-06-27 23:48:04
Boxing,2025-06-28 21:00:00,Holly Holm,Yolanda Vega,1.211,4.3,DraftKings,2025-06-27 23:48:04
Boxing,2025-06-28 21:00:00,Holly Holm,Yolanda Vega,1.2,4.2,BetRivers,2025-06-27 23:48:04
Boxing,2025-06-28 21:00:00,Holly Holm,Yolanda Vega,1.22,4.3,BetUS,2025-06-27 23:48:04
Boxing,2025-06-28 21:00:00,Holly Holm,Yolanda Vega,1.2,4.25,Bovada,2025-06-27 23:48:04
Boxing,2025-06-28 21:00:00,Holly Holm,Yolanda Vega,1.2,4.4,LowVig.ag,2025-06-27 23:48:04
Boxing,2025-06-28 21:00:00,Holly Holm,Yolanda Vega,1.133,5.2,FanDuel,2025-06-27 23:48:04
Boxing,2025-06-28 21:00:00,Holly Holm,Yolanda Vega,1.2,4.4,BetOnline.ag,2025-06-27 23:48:04
Boxing,2025-06-28 21:00:00,Joel Iriarte,Yusuph Metu,1.012,17.0,DraftKings,2025-06-27 23:48:04
Boxing,2025-06-28 21:00:00,Joel Iriarte,Yusuph Metu,1.01,17.0,BetRivers,2025-06-27 23:48:04
Boxing,2025-06-28 21:00:00,Joel Iriarte,Yusuph Metu,1.005,19.0,Bovada,2025-06-27 23:48:04
Boxing,2025-06-28 21:00:00,Raul Curiel,Victor Rodriguez,1.05,9.5,DraftKings,2025-06-27 23:48:04
Boxing,2025-06-28 21:00:00,Raul Curiel,Victor Rodriguez,1.06,8.5,BetRivers,2025-06-27 23:48:04
Boxing,2025-06-28 21:00:00,Raul Curiel,Victor Rodriguez,1.062,8.5,BetUS,2025-06-27 23:48:04
Boxing,2025-06-28 21:00:00,Raul Curiel,Victor Rodriguez,1.05,10.0,Bovada,2025-06-27 23:48:04
Boxing,2025-06-28 21:00:00,Raul Curiel,Victor Rodriguez,1.08,8.0,LowVig.ag,2025-06-27 23:48:04
Boxing,2025-06-28 21:00:00,Raul Curiel,Victor Rodriguez,1.056,8.2,FanDuel,2025-06-27 23:48:04
Boxing,2025-06-28 21:00:00,Raul Curiel,Victor Rodriguez,1.08,8.0,BetOnline.ag,2025-06-27 23:48:04
Boxing,2025-06-28 21:00:00,Victor Morales Jr,Rene Alvarado,1.05,10.0,DraftKings,2025-06-27 23:48:04
Boxing,2025-06-28 21:00:00,Victor Morales Jr,Rene Alvarado,1.06,9.5,BetRivers,2025-06-27 23:48:04
Boxing,2025-06-28 21:00:00,Victor Morales Jr,Rene Alvarado,1.06,9.17,BetUS,2025-06-27 23:48:04
Boxing,2025-06-28 21:00:00,Victor Morales Jr,Rene Alvarado,1.05,10.0,Bovada,2025-06-27 23:48:04
Boxing,2025-06-28 21:00:00,Victor Morales Jr,Rene Alvarado,1.062,8.5,LowVig.ag,2025-06-27 23:48:04
Boxing,2025-06-28 21:00:00,Victor Morales Jr,Rene Alvarado,1.062,8.5,BetOnline.ag,2025-06-27 23:48:04
Boxing,2025-06-28 22:00:00,Gilberto Ramirez,Yuniel Dorticos,1.071,8.5,DraftKings,2025-06-27 23:48:04
Boxing,2025-06-28 22:00:00,Gilberto Ramirez,Yuniel Dorticos,1.069,8.4,FanDuel,2025-06-27 23:48:04
Boxing,2025-06-28 22:00:00,Gilberto Ramirez,Yuniel Dorticos,1.1,7.0,BetUS,2025-06-27 23:48:04
Boxing,2025-06-28 22:00:00,Gilberto Ramirez,Yuniel Dorticos,1.07,8.0,BetRivers,2025-06-27 23:48:04
Boxing,2025-06-28 22:00:00,Gilberto Ramirez,Yuniel Dorticos,1.111,6.5,BetMGM,2025-06-27 23:48:04
Boxing,2025-06-28 22:00:00,Gilberto Ramirez,Yuniel Dorticos,1.08,7.43,LowVig.ag,2025-06-27 23:48:04
Boxing,2025-06-28 22:00:00,Gilberto Ramirez,Yuniel Dorticos,1.08,7.43,BetOnline.ag,2025-06-27 23:48:04
Boxing,2025-06-28 22:00:00,Jake Paul,Julio César Chávez Jr.,1.16,5.04,BetOnline.ag,2025-06-27 23:48:04
Boxing,2025-06-28 22:00:00,Jake Paul,Julio César Chávez Jr.,1.16,5.04,LowVig.ag,2025-06-27 23:48:04
Boxing,2025-06-28 22:00:00,Jake Paul,Julio César Chávez Jr.,1.167,5.25,Bovada,2025-06-27 23:48:04
Boxing,2025-06-28 22:00:00,Jake Paul,Julio César Chávez Jr.,1.167,5.0,BetUS,2025-06-27 23:48:04
Boxing,2025-06-28 22:00:00,Jake Paul,Julio César Chávez Jr.,1.149,5.0,BetRivers,2025-06-27 23:48:04
Boxing,2025-06-28 22:00:00,Jake Paul,Julio César Chávez Jr.,1.182,5.2,FanDuel,2025-06-27 23:48:04
Boxing,2025-06-28 22:00:00,Jake Paul,Julio César Chávez Jr.,1.174,5.0,DraftKings,2025-06-27 23:48:04
Test Matches,2025-06-28 04:00:00,Zimbabwe,South Africa,8.5,1.2,DraftKings,2025-06-27 23:48:04
Test Matches,2025-06-28 04:00:00,Zimbabwe,South Africa,7.0,1.22,BetRivers,2025-06-27 23:48:04
MMA,2025-06-28 00:10:00,Phil Davis,Sullivan Cauley,1.2,4.75,BetOnline.ag,2025-06-27 23:48:04
MMA,2025-06-28 00:10:00,Phil Davis,Sullivan Cauley,1.217,4.6,FanDuel,2025-06-27 23:48:04
MMA,2025-06-28 00:10:00,Phil Davis,Sullivan Cauley,1.222,4.33,BetMGM,2025-06-27 23:48:04
MMA,2025-06-28 00:40:00,Joshua Silveira,Fabian Edwards,4.85,1.196,BetOnline.ag,2025-06-27 23:48:04
MMA,2025-06-28 00:40:00,Joshua Silveira,Fabian Edwards,4.5,1.222,FanDuel,2025-06-27 23:48:04
MMA,2025-06-28 10:00:00,Adam Palasz,Kasim Aras,1.556,2.55,BetOnline.ag,2025-06-27 23:48:04
MMA,2025-06-28 10:00:00,Zhalgas Zhumagulov,Beno Adamia,1.25,4.0,BetOnline.ag,2025-06-27 23:48:04
MMA,2025-06-28 10:00:00,Joilton Lutterbach,Kaik Brito,1.625,2.4,BetOnline.ag,2025-06-27 23:48:04
MMA,2025-06-28 12:00:00,Marek Bartl,Omar Amasha,1.25,4.0,BetOnline.ag,2025-06-27 23:48:04
MMA,2025-06-28 14:10:00,Ghassan Abdenabi,Ashlee Evans-Smith,2.25,1.69,BetOnline.ag,2025-06-27 23:48:04
MMA,2025-06-28 15:00:00,Joe Fields,Davide Scarano,1.455,2.85,BetOnline.ag,2025-06-27 23:48:04
MMA,2025-06-28 15:10:00,Connor Wilson,Florian Doskja,1.455,2.85,BetOnline.ag,2025-06-27 23:48:04
MMA,2025-06-28 16:50:00,Michael Pagani,Tim Wilde,1.8,2.05,BetOnline.ag,2025-06-27 23:48:04
MMA,2025-06-28 17:40:00,Liam Gittins,Alessandro Giordano,1.182,5.0,BetOnline.ag,2025-06-27 23:48:04
MMA,2025-06-28 19:10:00,Jhonata Diniz,Alvin Hines,1.2,4.75,BetOnline.ag,2025-06-27 23:48:04
MMA,2025-06-28 19:10:00,Jhonata Diniz,Alvin Hines,1.26,3.85,BetRivers,2025-06-27 23:48:04
MMA,2025-06-28 19:10:00,Jhonata Diniz,Alvin Hines,1.256,4.1,FanDuel,2025-06-27 23:48:04
MMA,2025-06-28 19:10:00,Jhonata Diniz,Alvin Hines,1.25,4.1,BetMGM,2025-06-27 23:48:04
MMA,2025-06-28 19:10:00,Jhonata Diniz,Alvin Hines,1.208,4.6,Caesars,2025-06-27 23:48:04
MMA,2025-06-28 19:10:00,Jhonata Diniz,Alvin Hines,1.213,4.6,DraftKings,2025-06-27 23:48:04
MMA,2025-06-28 19:40:00,Jacobe Smith,Niko Price,1.04,13.0,BetOnline.ag,2025-06-27 23:48:04
MMA,2025-06-28 19:40:00,Jacobe Smith,Niko Price,1.06,10.5,BetRivers,2025-06-27 23:48:04
MMA,2025-06-28 19:40:00,Jacobe Smith,Niko Price,1.045,12.0,FanDuel,2025-06-27 23:48:04
MMA,2025-06-28 19:40:00,Jacobe Smith,Niko Price,1.04,12.0,BetMGM,2025-06-27 23:48:04
MMA,2025-06-28 19:40:00,Jacobe Smith,Niko Price,1.04,13.0,Caesars,2025-06-27 23:48:04
MMA,2025-06-28 19:40:00,Jacobe Smith,Niko Price,1.048,12.0,DraftKings,2025-06-27 23:48:04
MMA,2025-06-28 20:10:00,Viacheslav Borshchev,Terrance Mckinney,2.3,1.667,BetOnline.ag,2025-06-27 23:48:04
MMA,2025-06-28 20:10:00,Viacheslav Borshchev,Terrance Mckinney,2.35,1.571,BetRivers,2025-06-27 23:48:04
MMA,2025-06-28 20:10:00,Viacheslav Borshchev,Terrance Mckinney,2.44,1.581,FanDuel,2025-06-27 23:48:04
MMA,2025-06-28 20:10:00,Viacheslav Borshchev,Terrance Mckinney,2.45,1.571,BetMGM,2025-06-27 23:48:04
MMA,2025-06-28 20:10:00,Viacheslav Borshchev,Terrance Mckinney,2.4,1.606,Caesars,2025-06-27 23:48:04
MMA,2025-06-28 20:10:00,Viacheslav Borshchev,Terrance Mckinney,2.3,1.645,DraftKings,2025-06-27 23:48:04
MMA,2025-06-28 20:30:00,Viviane Araujo,Tracy Cortez,2.85,1.455,BetOnline.ag,2025-06-27 23:48:04
