Sport,Match Date,Home Team,Away Team,Home Score,Away Score,Status,Game ID
NBA,20250421,New York Knicks,Detroit Pistons,94,100,Completed,15bca8e5b08f7b8602a8e3967667c740
NBA,20250421,Denver Nuggets,Los Angeles Clippers,102,105,Completed,1814ec22a3248bb5467aa1a2bee18f98
Test Matches,20250421,Bangladesh,Zimbabwe,,,Unknown,639f1f18f0d5bc5939123503a8f644da
NHL,20250421,Washington Capitals,Montréal Canadiens,3,2,Completed,22c9ef142cfafc9bfde947bc0d90e44a
NHL,20250421,Winnipeg Jets,St Louis Blues,2,1,Completed,2a10fa668ef1656462ff69d36b47ed3f
NHL,20250421,Dallas Stars,Colorado Avalanche,4,3,Completed,a3b7082abbf2786583b4704216859755
NHL,20250421,Los Angeles Kings,Edmonton Oilers,6,5,Completed,b506a8b73c2f29ece34064828f0da2fe
NHL,20250421,Washington Capitals,Montréal Canadiens,,,Unknown,581a485b153894bfe0b6b04418b9ebca
NHL,20250421,Los Angeles Kings,Edmonton Oilers,,,Unknown,60e4ec6ed46bd1dfdbd91c3e620f50af
Primera División - Argentina,20250421,Argentinos Juniors,Barracas Central,,,Unknown,53d0cb661af20f2ca5a3075da09306a9
Primera División - Argentina,20250421,CA Tigre BA,Belgrano de Cordoba,,,Unknown,ffdaa6ad16ce8fd03a316c9d1586e68c
Primera División - Argentina,20250421,Independiente Rivadavia,Aldosivi Mar del Plata,,,Unknown,d99c81768e40e1cf3dcd7d35528a7a5a
Denmark Superliga,20250421,FC Copenhagen,AGF Aarhus,3,1,Completed,d0e7130fd79d0fa2410ab6f1b5913c40
Championship,20250421,Burnley,Sheffield United,2,1,Completed,3282f253ff58eec497052338262860fe
EPL,20250421,Tottenham Hotspur,Nottingham Forest,1,2,Completed,65658b715795116945ee46f71b84ee12
Ligue 2 - France,20250421,Annecy FC,Lorient,0,0,Completed,0892413338664c56669fb493abdbaac3
Serie A - Italy,20250421,Cagliari,Fiorentina,,,Unknown,b4276f252c54d6a73d0750d1256aa4e2
Serie A - Italy,20250421,Genoa,Lazio,,,Unknown,ae65eee8a8b4cf85bcc3553dfd24d199
Serie A - Italy,20250421,Parma,Juventus,,,Unknown,9056ee53f36698be04773cf7f86f7111
Serie A - Italy,20250421,Torino,Udinese,,,Unknown,053a7ac7e8ffe19895773c083b0fa3c1
League of Ireland,20250421,Cork City,Waterford FC,2,1,Completed,e059f531b7311e7cce8d6d8c314dbe03
League of Ireland,20250421,Drogheda United,St Patricks Athletic,0,0,Completed,bc26978164705c78d6e5cff5f237a84f
League of Ireland,20250421,Shelbourne Dublin,Galway United,2,2,Completed,c998b501f81d5d5778154e6477a24d06
La Liga - Spain,20250421,Girona,Real Betis,1,3,Completed,3c47f674913790c24cdd4ea7a605dbfb
La Liga 2 - Spain,20250421,SD Eibar,Málaga,2,2,Completed,7fa97f2142769dce8dcb9f3bc0b0bb23
Swiss Superleague,20250421,FC Basel,Yverdon Sport FC,5,0,Completed,955f1cfc08235bc7f7ac636f931f1263
Swiss Superleague,20250421,FC Lausanne-Sport,FC Lugano,2,0,Completed,76f6c0c19559cab5a2d6fb6101e615ad
Swiss Superleague,20250421,Servette,FC Luzern,2,1,Completed,26265c41b9b9408b0e08e94ee83290c8
Swiss Superleague,20250421,FC St Gallen,FC Sion,1,0,Completed,c105d3395f50919c5e7a738c74f6af31
Swiss Superleague,20250421,BSC Young Boys,FC Zurich,2,1,Completed,61d7ba6510d2a6d1fff9b52d595e1906
Turkey Super League,20250421,Alanyaspor,Samsunspor,1,0,Completed,99e1d0f624e9666406d21c985451a519
