Sport,Match Date,Home Team,Away Team,Home Score,Away Score,Status,Game ID
NBA,20250611,Indiana Pacers,Oklahoma City Thunder,116,107,Completed,fbb23bfdbb36b9582628067a17266910
NBA,20250611,Indiana Pacers,Oklahoma City Thunder,,,Unknown,b3341893e40e1357ab9fcd9c362d7401
La Liga 2 - Spain,20250611,Oviedo,Almería,1,1,Completed,124733830f32f8fa430fc8492d6b82a0
