Sport,Match Date,Home Team,Away Team,Home Score,Away Score,Status,Game ID
AFL,20250613,Hawthorn Hawks,Adelaide Crows,47,44,Completed,c8fe90b989512d33cf0a886b476f4179
AFL,20250613,Brisbane Lions,Greater Western Sydney Giants,,,Unknown,e1ceed69c944aa8f7f4fe0b52eed058d
NBA,20250613,Indiana Pacers,Oklahoma City Thunder,104,111,Completed,b3341893e40e1357ab9fcd9c362d7401
NRL,20250613,Gold Coast Titans,Manly Warringah Sea Eagles,28,8,Completed,60c4b2fd7eb65c8c71f536b66c573bc4
League of Ireland,20250613,Cork City,Bohemians,0,2,Completed,1e26076bf6e84a95cbe7a6028e7cd0ae
League of Ireland,20250613,Derry City,Galway United,1,1,Completed,698efeec070435910c44007d7bb1d59c
League of Ireland,20250613,St Patricks Athletic,Drogheda United,0,0,Completed,7cd1f2fe73e48a74354aed4171a440b8
League of Ireland,20250613,Shelbourne Dublin,Shamrock Rovers,1,2,Completed,b32dcc521fced62b18f8ed5fe1683c2a
