Sport,Match Date,Home Team,Away Team,Home Team Odds,Away Team Odds,Bookmaker,Compiled_At
NBA,2025-02-26 19:00:00,Detroit Pistons,Boston Celtics,2.4,1.625,BetOnline.ag,2025-02-26 05:13:23
NBA,2025-02-26 19:00:00,Detroit Pistons,Boston Celtics,2.4,1.625,LowVig.ag,2025-02-26 05:13:23
NBA,2025-02-26 19:00:00,Detroit Pistons,Boston Celtics,2.4,1.588,Fanatics,2025-02-26 05:13:23
NBA,2025-02-26 19:00:00,Detroit Pistons,Boston Celtics,2.5,1.562,FanDuel,2025-02-26 05:13:23
NBA,2025-02-26 19:00:00,Detroit Pistons,Boston Celtics,2.4,1.602,DraftKings,2025-02-26 05:13:23
NBA,2025-02-26 19:00:00,Detroit Pistons,Boston Celtics,2.4,1.606,Caesars,2025-02-26 05:13:23
NBA,2025-02-26 19:00:00,Detroit Pistons,Boston Celtics,2.35,1.625,BetMGM,2025-02-26 05:13:23
NBA,2025-02-26 19:00:00,Detroit Pistons,Boston Celtics,2.45,1.588,Bovada,2025-02-26 05:13:23
NBA,2025-02-26 19:00:00,Detroit Pistons,Boston Celtics,2.35,1.629,BetRivers,2025-02-26 05:13:23
NBA,2025-02-26 19:00:00,Indiana Pacers,Toronto Raptors,1.235,4.45,BetOnline.ag,2025-02-26 05:13:23
NBA,2025-02-26 19:00:00,Indiana Pacers,Toronto Raptors,1.235,4.45,LowVig.ag,2025-02-26 05:13:23
NBA,2025-02-26 19:00:00,Indiana Pacers,Toronto Raptors,1.25,4.1,Fanatics,2025-02-26 05:13:23
NBA,2025-02-26 19:00:00,Indiana Pacers,Toronto Raptors,1.227,4.4,DraftKings,2025-02-26 05:13:23
NBA,2025-02-26 19:00:00,Indiana Pacers,Toronto Raptors,1.22,4.45,Caesars,2025-02-26 05:13:23
NBA,2025-02-26 19:00:00,Indiana Pacers,Toronto Raptors,1.256,4.1,FanDuel,2025-02-26 05:13:23
NBA,2025-02-26 19:00:00,Indiana Pacers,Toronto Raptors,1.222,4.4,BetMGM,2025-02-26 05:13:23
NBA,2025-02-26 19:00:00,Indiana Pacers,Toronto Raptors,1.2,4.6,Bovada,2025-02-26 05:13:23
NBA,2025-02-26 19:00:00,Indiana Pacers,Toronto Raptors,1.238,4.3,BetRivers,2025-02-26 05:13:23
NBA,2025-02-26 19:10:00,New York Knicks,Philadelphia 76ers,1.222,4.5,FanDuel,2025-02-26 05:13:23
NBA,2025-02-26 19:10:00,New York Knicks,Philadelphia 76ers,1.222,4.5,Fanatics,2025-02-26 05:13:23
NBA,2025-02-26 19:10:00,New York Knicks,Philadelphia 76ers,1.22,4.5,DraftKings,2025-02-26 05:13:23
NBA,2025-02-26 19:10:00,New York Knicks,Philadelphia 76ers,1.208,4.6,Caesars,2025-02-26 05:13:23
NBA,2025-02-26 19:10:00,New York Knicks,Philadelphia 76ers,1.235,4.45,LowVig.ag,2025-02-26 05:13:23
