Sport,Match Date,Home Team,Away Team,Home Team Odds,Away Team Odds,Bookmaker,Draw Odds,Compiled_At
AFL,2025-07-18 05:40:00,Brisbane Lions,Western Bulldogs,1.5,2.5,Bovada,,2025-07-17 00:00:48
AFL,2025-07-18 05:40:00,Brisbane Lions,Western Bulldogs,1.541,2.45,DraftKings,,2025-07-17 00:00:48
AFL,2025-07-18 05:40:00,Brisbane Lions,Western Bulldogs,1.541,2.55,BetUS,,2025-07-17 00:00:48
AFL,2025-07-18 23:20:00,Hawthorn Hawks,Port Adelaide Power,1.174,4.8,DraftKings,,2025-07-17 00:00:48
AFL,2025-07-18 23:20:00,Hawthorn Hawks,Port Adelaide Power,1.182,4.75,BetUS,,2025-07-17 00:00:48
MMA,2025-07-18 19:00:00,Braxton Smith,Daniel James,3.4,1.333,BetOnline.ag,,2025-07-17 00:00:48
MMA,2025-07-18 19:00:00,Chase Sherman,Timothy Johnson,1.417,2.9,BetOnline.ag,,2025-07-17 00:00:48
MMA,2025-07-18 21:00:00,Jesse Butler,Carlos Calderon,2.25,1.645,BetOnline.ag,,2025-07-17 00:00:48
NRL,2025-07-18 04:00:00,Cronulla Sutherland Sharks,Sydney Roosters,1.709,2.23,Bovada,,2025-07-17 00:00:48
NRL,2025-07-18 04:00:00,Cronulla Sutherland Sharks,Sydney Roosters,1.699,2.14,BetRivers,,2025-07-17 00:00:48
NRL,2025-07-18 04:00:00,Cronulla Sutherland Sharks,Sydney Roosters,1.621,2.21,BetUS,,2025-07-17 00:00:48
NRL,2025-07-18 06:00:00,Penrith Panthers,South Sydney Rabbitohs,1.377,3.2,Bovada,,2025-07-17 00:00:48
NRL,2025-07-18 06:00:00,Penrith Panthers,South Sydney Rabbitohs,1.377,3.0,BetRivers,,2025-07-17 00:00:48
NRL,2025-07-18 06:00:00,Penrith Panthers,South Sydney Rabbitohs,1.36,2.93,BetUS,,2025-07-17 00:00:48
Primera División - Argentina,2025-07-18 18:30:00,Boca Juniors,Union Santa Fe,1.625,5.5,FanDuel,3.3,2025-07-17 00:00:48
Primera División - Argentina,2025-07-18 18:30:00,Boca Juniors,Union Santa Fe,1.658,5.4,Bovada,3.4,2025-07-17 00:00:48
Primera División - Argentina,2025-07-18 18:30:00,Boca Juniors,Union Santa Fe,1.556,5.5,BetRivers,3.75,2025-07-17 00:00:48
Primera División - Argentina,2025-07-18 18:30:00,Boca Juniors,Union Santa Fe,1.667,5.5,BetMGM,3.4,2025-07-17 00:00:48
Primera División - Argentina,2025-07-18 18:30:00,Boca Juniors,Union Santa Fe,1.69,5.25,DraftKings,3.35,2025-07-17 00:00:48
Primera División - Argentina,2025-07-18 18:30:00,Boca Juniors,Union Santa Fe,1.704,5.75,BetOnline.ag,3.46,2025-07-17 00:00:48
Primera División - Argentina,2025-07-18 18:30:00,Boca Juniors,Union Santa Fe,1.704,5.75,LowVig.ag,3.46,2025-07-17 00:00:48
