Sport,Match Date,Home Team,Away Team,Home Team Odds,Away Team Odds,Bookmaker,Draw Odds,Compiled_At
AFL,2025-05-30 05:40:00,Collingwood Magpies,Hawthorn Hawks,1.645,2.25,DraftKings,,2025-05-29 23:45:32
AFL,2025-05-30 05:40:00,Collingwood Magpies,Hawthorn Hawks,1.606,2.25,Bovada,,2025-05-29 23:45:32
AFL,2025-05-30 05:40:00,Collingwood Magpies,Hawthorn Hawks,1.645,2.25,BetUS,,2025-05-29 23:45:32
AFL,2025-05-30 23:20:00,Gold Coast Suns,Fremantle Dockers,1.417,2.85,DraftKings,,2025-05-29 23:45:32
AFL,2025-05-30 23:20:00,Gold Coast Suns,Fremantle Dockers,1.364,3.0,Bovada,,2025-05-29 23:45:32
AFL,2025-05-30 23:20:00,Gold Coast Suns,Fremantle Dockers,1.4,3.0,BetUS,,2025-05-29 23:45:32
Boxing,2025-05-30 20:00:00,Eric Priest,Luis Arias,1.11,6.4,BetRivers,,2025-05-29 23:45:32
Boxing,2025-05-30 20:00:00,Eric Priest,Luis Arias,1.067,8.13,LowVig.ag,,2025-05-29 23:45:32
Boxing,2025-05-30 20:00:00,Eric Priest,Luis Arias,1.067,8.13,BetOnline.ag,,2025-05-29 23:45:32
Boxing,2025-05-30 20:00:00,Eric Priest,Luis Arias,1.105,6.0,FanDuel,,2025-05-29 23:45:32
Boxing,2025-05-30 20:00:00,Eric Priest,Luis Arias,1.1,7.0,BetUS,,2025-05-29 23:45:32
Boxing,2025-05-30 20:00:00,Eric Priest,Luis Arias,1.174,5.0,DraftKings,,2025-05-29 23:45:32
Boxing,2025-05-30 20:00:00,Eric Priest,Luis Arias,1.111,6.0,Bovada,,2025-05-29 23:45:32
Boxing,2025-05-30 20:00:00,Eric Priest,Luis Arias,1.111,6.5,BetMGM,,2025-05-29 23:45:32
Boxing,2025-05-30 20:30:00,Darius Fulghum,Bektemir Melikuziev,2.0,1.769,Bovada,,2025-05-29 23:45:32
Boxing,2025-05-30 20:30:00,Darius Fulghum,Bektemir Melikuziev,2.05,1.741,LowVig.ag,,2025-05-29 23:45:32
Boxing,2025-05-30 20:30:00,Darius Fulghum,Bektemir Melikuziev,1.862,1.862,FanDuel,,2025-05-29 23:45:32
Boxing,2025-05-30 20:30:00,Darius Fulghum,Bektemir Melikuziev,2.05,1.741,BetOnline.ag,,2025-05-29 23:45:32
Boxing,2025-05-30 20:30:00,Darius Fulghum,Bektemir Melikuziev,2.05,1.741,BetUS,,2025-05-29 23:45:32
Boxing,2025-05-30 20:30:00,Darius Fulghum,Bektemir Melikuziev,1.952,1.787,BetRivers,,2025-05-29 23:45:32
Boxing,2025-05-30 21:00:00,Manuel Gallegos,Khalil Coe,2.0,1.8,DraftKings,,2025-05-29 23:45:32
Boxing,2025-05-30 21:00:00,Manuel Gallegos,Khalil Coe,1.8,1.952,LowVig.ag,,2025-05-29 23:45:32
Boxing,2025-05-30 21:00:00,Manuel Gallegos,Khalil Coe,1.8,1.952,BetUS,,2025-05-29 23:45:32
Boxing,2025-05-30 21:00:00,Manuel Gallegos,Khalil Coe,1.8,1.952,BetOnline.ag,,2025-05-29 23:45:32
Boxing,2025-05-30 21:00:00,Manuel Gallegos,Khalil Coe,1.769,2.0,Bovada,,2025-05-29 23:45:32
Boxing,2025-05-30 21:00:00,Manuel Gallegos,Khalil Coe,1.909,1.909,BetMGM,,2025-05-29 23:45:32
Boxing,2025-05-30 21:00:00,Manuel Gallegos,Khalil Coe,1.87,1.87,BetRivers,,2025-05-29 23:45:32
NRL,2025-05-30 06:00:00,St George Illawarra Dragons,Newcastle Knights,1.538,2.62,Bovada,,2025-05-29 23:45:32
NRL,2025-05-30 06:00:00,St George Illawarra Dragons,Newcastle Knights,1.526,2.5,BetRivers,,2025-05-29 23:45:32
NRL,2025-05-30 06:00:00,St George Illawarra Dragons,Newcastle Knights,1.5,2.5,BetUS,,2025-05-29 23:45:32
League of Ireland,2025-05-30 14:45:00,Bohemians,Derry City,2.5,2.9,DraftKings,3.1,2025-05-29 23:45:32
League of Ireland,2025-05-30 14:45:00,Bohemians,Derry City,2.45,2.9,FanDuel,3.0,2025-05-29 23:45:32
League of Ireland,2025-05-30 14:45:00,Bohemians,Derry City,2.5,2.9,Bovada,2.95,2025-05-29 23:45:32
League of Ireland,2025-05-30 14:45:00,Bohemians,Derry City,2.55,2.8,BetRivers,3.05,2025-05-29 23:45:32
League of Ireland,2025-05-30 14:45:00,Bohemians,Derry City,2.5,2.9,BetUS,2.95,2025-05-29 23:45:32
League of Ireland,2025-05-30 14:45:00,Bohemians,Derry City,2.45,2.75,BetMGM,3.0,2025-05-29 23:45:32
League of Ireland,2025-05-30 14:45:00,Bohemians,Derry City,2.43,2.81,BetOnline.ag,3.2,2025-05-29 23:45:32
League of Ireland,2025-05-30 14:45:00,Bohemians,Derry City,2.43,2.81,LowVig.ag,3.2,2025-05-29 23:45:32
League of Ireland,2025-05-30 14:45:00,Cork City,Shelbourne Dublin,3.8,2.0,DraftKings,3.25,2025-05-29 23:45:32
League of Ireland,2025-05-30 14:45:00,Cork City,Shelbourne Dublin,3.9,1.952,FanDuel,3.2,2025-05-29 23:45:32
League of Ireland,2025-05-30 14:45:00,Cork City,Shelbourne Dublin,3.7,2.05,Bovada,3.15,2025-05-29 23:45:32
League of Ireland,2025-05-30 14:45:00,Cork City,Shelbourne Dublin,3.85,1.909,BetRivers,3.35,2025-05-29 23:45:32
League of Ireland,2025-05-30 14:45:00,Cork City,Shelbourne Dublin,3.7,2.05,BetUS,3.15,2025-05-29 23:45:32
League of Ireland,2025-05-30 14:45:00,Cork City,Shelbourne Dublin,3.6,1.98,BetMGM,3.2,2025-05-29 23:45:32
League of Ireland,2025-05-30 14:45:00,Cork City,Shelbourne Dublin,3.45,2.02,BetOnline.ag,3.35,2025-05-29 23:45:32
League of Ireland,2025-05-30 14:45:00,Cork City,Shelbourne Dublin,3.45,2.02,LowVig.ag,3.35,2025-05-29 23:45:32
League of Ireland,2025-05-30 14:45:00,Waterford FC,Drogheda United,2.65,2.7,DraftKings,3.2,2025-05-29 23:45:32
League of Ireland,2025-05-30 14:45:00,Waterford FC,Drogheda United,2.6,2.6,FanDuel,3.1,2025-05-29 23:45:32
League of Ireland,2025-05-30 14:45:00,Waterford FC,Drogheda United,2.7,2.65,Bovada,3.05,2025-05-29 23:45:32
League of Ireland,2025-05-30 14:45:00,Waterford FC,Drogheda United,2.85,2.48,BetRivers,3.1,2025-05-29 23:45:32
League of Ireland,2025-05-30 14:45:00,Waterford FC,Drogheda United,2.7,2.65,BetUS,3.05,2025-05-29 23:45:32
League of Ireland,2025-05-30 14:45:00,Waterford FC,Drogheda United,2.6,2.55,BetMGM,3.1,2025-05-29 23:45:32
League of Ireland,2025-05-30 14:45:00,Waterford FC,Drogheda United,2.58,2.54,BetOnline.ag,3.35,2025-05-29 23:45:32
League of Ireland,2025-05-30 14:45:00,Waterford FC,Drogheda United,2.58,2.54,LowVig.ag,3.35,2025-05-29 23:45:32
League of Ireland,2025-05-30 14:45:00,Sligo Rovers,St Patricks Athletic,4.1,1.833,DraftKings,3.7,2025-05-29 23:45:32
League of Ireland,2025-05-30 14:45:00,Sligo Rovers,St Patricks Athletic,4.1,1.769,FanDuel,3.5,2025-05-29 23:45:32
League of Ireland,2025-05-30 14:45:00,Sligo Rovers,St Patricks Athletic,4.0,1.833,Bovada,3.5,2025-05-29 23:45:32
League of Ireland,2025-05-30 14:45:00,Sligo Rovers,St Patricks Athletic,4.1,1.8,BetRivers,3.55,2025-05-29 23:45:32
League of Ireland,2025-05-30 14:45:00,Sligo Rovers,St Patricks Athletic,4.0,1.833,BetUS,3.5,2025-05-29 23:45:32
League of Ireland,2025-05-30 14:45:00,Sligo Rovers,St Patricks Athletic,3.9,1.8,BetMGM,3.5,2025-05-29 23:45:32
League of Ireland,2025-05-30 14:45:00,Sligo Rovers,St Patricks Athletic,3.8,1.847,BetOnline.ag,3.65,2025-05-29 23:45:32
League of Ireland,2025-05-30 14:45:00,Sligo Rovers,St Patricks Athletic,3.8,1.847,LowVig.ag,3.65,2025-05-29 23:45:32
League of Ireland,2025-05-30 15:00:00,Shamrock Rovers,Galway United,1.556,6.0,DraftKings,3.95,2025-05-29 23:45:32
League of Ireland,2025-05-30 15:00:00,Shamrock Rovers,Galway United,1.513,6.0,FanDuel,3.8,2025-05-29 23:45:32
League of Ireland,2025-05-30 15:00:00,Shamrock Rovers,Galway United,1.571,5.75,Bovada,3.75,2025-05-29 23:45:32
League of Ireland,2025-05-30 15:00:00,Shamrock Rovers,Galway United,1.5,6.1,BetRivers,4.0,2025-05-29 23:45:32
League of Ireland,2025-05-30 15:00:00,Shamrock Rovers,Galway United,1.571,5.75,BetUS,3.75,2025-05-29 23:45:32
League of Ireland,2025-05-30 15:00:00,Shamrock Rovers,Galway United,1.526,5.75,BetMGM,3.75,2025-05-29 23:45:32
League of Ireland,2025-05-30 15:00:00,Shamrock Rovers,Galway United,1.521,6.1,BetOnline.ag,3.8,2025-05-29 23:45:32
League of Ireland,2025-05-30 15:00:00,Shamrock Rovers,Galway United,1.521,6.1,LowVig.ag,3.8,2025-05-29 23:45:32
La Liga 2 - Spain,2025-05-30 14:30:00,CD Castellón,Zaragoza,1.8,3.7,FanDuel,3.7,2025-05-29 23:45:32
La Liga 2 - Spain,2025-05-30 14:30:00,CD Castellón,Zaragoza,1.847,3.5,BetMGM,3.6,2025-05-29 23:45:32
La Liga 2 - Spain,2025-05-30 14:30:00,CD Castellón,Zaragoza,1.909,3.55,DraftKings,3.75,2025-05-29 23:45:32
La Liga 2 - Spain,2025-05-30 14:30:00,CD Castellón,Zaragoza,1.909,3.7,Bovada,3.65,2025-05-29 23:45:32
La Liga 2 - Spain,2025-05-30 14:30:00,CD Castellón,Zaragoza,1.926,3.35,LowVig.ag,3.7,2025-05-29 23:45:32
