Sport,Match Date,Home Team,Away Team,Home Team Odds,Away Team Odds,Bookmaker,Compiled_At
NCAAF,2025-01-20 19:30:00,Notre Dame Fighting Irish,Ohio State Buckeyes,3.85,1.278,DraftKings,2025-01-20 05:13:05
NCAAF,2025-01-20 19:30:00,Notre Dame Fighting Irish,Ohio State Buckeyes,4.1,1.25,FanDuel,2025-01-20 05:13:05
NCAAF,2025-01-20 19:30:00,Notre Dame Fighting Irish,Ohio State Buckeyes,3.95,1.274,LowVig.ag,2025-01-20 05:13:05
NCAAF,2025-01-20 19:30:00,Notre Dame Fighting Irish,Ohio State Buckeyes,3.95,1.274,BetOnline.ag,2025-01-20 05:13:05
NCAAF,2025-01-20 19:30:00,Notre Dame Fighting Irish,Ohio State Buckeyes,4.35,1.22,BetRivers,2025-01-20 05:13:05
NCAAF,2025-01-20 19:30:00,Notre Dame Fighting Irish,Ohio State Buckeyes,4.25,1.25,BetMGM,2025-01-20 05:13:05
NCAAF,2025-01-20 19:30:00,Notre Dame Fighting Irish,Ohio State Buckeyes,3.85,1.274,Caesars,2025-01-20 05:13:05
NCAAF,2025-01-20 19:30:00,Notre Dame Fighting Irish,Ohio State Buckeyes,4.2,1.25,BetUS,2025-01-20 05:13:05
NCAAF,2025-01-20 19:30:00,Notre Dame Fighting Irish,Ohio State Buckeyes,4.0,1.25,Bovada,2025-01-20 05:13:05
NBA,2025-01-20 12:10:00,Charlotte Hornets,Dallas Mavericks,2.8,1.459,DraftKings,2025-01-20 05:13:05
NBA,2025-01-20 12:10:00,Charlotte Hornets,Dallas Mavericks,2.8,1.455,Bovada,2025-01-20 05:13:05
NBA,2025-01-20 12:10:00,Charlotte Hornets,Dallas Mavericks,2.8,1.476,BetOnline.ag,2025-01-20 05:13:05
NBA,2025-01-20 12:10:00,Charlotte Hornets,Dallas Mavericks,2.8,1.476,LowVig.ag,2025-01-20 05:13:05
NBA,2025-01-20 12:10:00,Charlotte Hornets,Dallas Mavericks,2.8,1.465,FanDuel,2025-01-20 05:13:05
NBA,2025-01-20 12:10:00,Charlotte Hornets,Dallas Mavericks,2.85,1.444,Caesars,2025-01-20 05:13:05
NBA,2025-01-20 12:10:00,Charlotte Hornets,Dallas Mavericks,2.75,1.476,BetRivers,2025-01-20 05:13:05
NBA,2025-01-20 12:10:00,Charlotte Hornets,Dallas Mavericks,2.8,1.444,BetMGM,2025-01-20 05:13:05
NBA,2025-01-20 14:10:00,Houston Rockets,Detroit Pistons,1.308,3.6,DraftKings,2025-01-20 05:13:05
NBA,2025-01-20 14:10:00,Houston Rockets,Detroit Pistons,1.303,3.65,Bovada,2025-01-20 05:13:05
NBA,2025-01-20 14:10:00,Houston Rockets,Detroit Pistons,1.328,3.55,BetOnline.ag,2025-01-20 05:13:05
NBA,2025-01-20 14:10:00,Houston Rockets,Detroit Pistons,1.328,3.55,LowVig.ag,2025-01-20 05:13:05
NBA,2025-01-20 14:10:00,Houston Rockets,Detroit Pistons,1.303,3.65,FanDuel,2025-01-20 05:13:05
NBA,2025-01-20 14:10:00,Houston Rockets,Detroit Pistons,1.299,3.6,Caesars,2025-01-20 05:13:05
NBA,2025-01-20 14:10:00,Houston Rockets,Detroit Pistons,1.286,3.6,BetMGM,2025-01-20 05:13:05
NBA,2025-01-20 14:10:00,Houston Rockets,Detroit Pistons,1.317,3.5,BetRivers,2025-01-20 05:13:05
NBA,2025-01-20 14:40:00,Memphis Grizzlies,Minnesota Timberwolves,1.617,2.36,DraftKings,2025-01-20 05:13:05
NBA,2025-01-20 14:40:00,Memphis Grizzlies,Minnesota Timberwolves,1.571,2.5,Bovada,2025-01-20 05:13:05
NBA,2025-01-20 14:40:00,Memphis Grizzlies,Minnesota Timberwolves,1.617,2.36,FanDuel,2025-01-20 05:13:05
NBA,2025-01-20 14:40:00,Memphis Grizzlies,Minnesota Timberwolves,1.599,2.38,BetRivers,2025-01-20 05:13:05
NBA,2025-01-20 14:40:00,Memphis Grizzlies,Minnesota Timberwolves,1.606,2.4,Caesars,2025-01-20 05:13:05
NBA,2025-01-20 14:40:00,Memphis Grizzlies,Minnesota Timberwolves,1.625,2.35,BetMGM,2025-01-20 05:13:05
NBA,2025-01-20 14:40:00,Memphis Grizzlies,Minnesota Timberwolves,1.645,2.35,BetOnline.ag,2025-01-20 05:13:05
NBA,2025-01-20 14:40:00,Memphis Grizzlies,Minnesota Timberwolves,1.645,2.35,LowVig.ag,2025-01-20 05:13:05
NBA,2025-01-20 15:10:00,New York Knicks,Atlanta Hawks,1.388,3.1,DraftKings,2025-01-20 05:13:05
NBA,2025-01-20 15:10:00,New York Knicks,Atlanta Hawks,1.4,3.1,Bovada,2025-01-20 05:13:05
NBA,2025-01-20 15:10:00,New York Knicks,Atlanta Hawks,1.385,3.15,FanDuel,2025-01-20 05:13:05
NBA,2025-01-20 15:10:00,New York Knicks,Atlanta Hawks,1.375,3.15,Caesars,2025-01-20 05:13:05
NBA,2025-01-20 15:10:00,New York Knicks,Atlanta Hawks,1.364,3.2,BetMGM,2025-01-20 05:13:05
NBA,2025-01-20 15:10:00,New York Knicks,Atlanta Hawks,1.385,3.2,LowVig.ag,2025-01-20 05:13:05
NBA,2025-01-20 15:10:00,New York Knicks,Atlanta Hawks,1.385,3.2,BetOnline.ag,2025-01-20 05:13:05
NBA,2025-01-20 15:10:00,New York Knicks,Atlanta Hawks,1.417,2.95,BetRivers,2025-01-20 05:13:05
NBA,2025-01-20 15:40:00,Cleveland Cavaliers,Phoenix Suns,1.308,3.6,DraftKings,2025-01-20 05:13:05
NBA,2025-01-20 15:40:00,Cleveland Cavaliers,Phoenix Suns,1.312,3.6,Bovada,2025-01-20 05:13:05
NBA,2025-01-20 15:40:00,Cleveland Cavaliers,Phoenix Suns,1.312,3.7,BetOnline.ag,2025-01-20 05:13:05
NBA,2025-01-20 15:40:00,Cleveland Cavaliers,Phoenix Suns,1.312,3.7,LowVig.ag,2025-01-20 05:13:05
NBA,2025-01-20 15:40:00,Cleveland Cavaliers,Phoenix Suns,1.29,3.7,Caesars,2025-01-20 05:13:05
NBA,2025-01-20 15:40:00,Cleveland Cavaliers,Phoenix Suns,1.286,3.6,BetMGM,2025-01-20 05:13:05
NBA,2025-01-20 15:40:00,Cleveland Cavaliers,Phoenix Suns,1.294,3.75,FanDuel,2025-01-20 05:13:05
NBA,2025-01-20 15:40:00,Cleveland Cavaliers,Phoenix Suns,1.339,3.4,BetRivers,2025-01-20 05:13:05
NBA,2025-01-20 17:00:00,Golden State Warriors,Boston Celtics,3.5,1.323,DraftKings,2025-01-20 05:13:05
NBA,2025-01-20 17:00:00,Golden State Warriors,Boston Celtics,3.5,1.333,Bovada,2025-01-20 05:13:05
NBA,2025-01-20 17:00:00,Golden State Warriors,Boston Celtics,3.5,1.312,Caesars,2025-01-20 05:13:05
NBA,2025-01-20 17:00:00,Golden State Warriors,Boston Celtics,3.45,1.333,FanDuel,2025-01-20 05:13:05
NBA,2025-01-20 17:00:00,Golden State Warriors,Boston Celtics,3.4,1.333,BetMGM,2025-01-20 05:13:05
NBA,2025-01-20 17:00:00,Golden State Warriors,Boston Celtics,3.45,1.345,BetOnline.ag,2025-01-20 05:13:05
NBA,2025-01-20 17:00:00,Golden State Warriors,Boston Celtics,3.45,1.345,LowVig.ag,2025-01-20 05:13:05
NBA,2025-01-20 17:00:00,Golden State Warriors,Boston Celtics,3.2,1.364,BetRivers,2025-01-20 05:13:05
NBA,2025-01-20 20:00:00,New Orleans Pelicans,Utah Jazz,1.167,5.4,DraftKings,2025-01-20 05:13:05
NBA,2025-01-20 20:00:00,New Orleans Pelicans,Utah Jazz,1.171,5.1,Bovada,2025-01-20 05:13:05
NBA,2025-01-20 20:00:00,New Orleans Pelicans,Utah Jazz,1.167,5.3,Caesars,2025-01-20 05:13:05
NBA,2025-01-20 20:00:00,New Orleans Pelicans,Utah Jazz,1.154,5.5,BetMGM,2025-01-20 05:13:05
NBA,2025-01-20 20:00:00,New Orleans Pelicans,Utah Jazz,1.167,5.6,LowVig.ag,2025-01-20 05:13:05
NBA,2025-01-20 20:00:00,New Orleans Pelicans,Utah Jazz,1.167,5.6,BetOnline.ag,2025-01-20 05:13:05
