Sport,Match Date,Home Team,Away Team,Home Score,Away Score,Status,Game ID
AFL,20250615,Port Adelaide Power,Melbourne Demons,,,Unknown,9247d8f83a8d808355edf3daf18bbbf6
AFL,20250615,West Coast Eagles,Carlton Blues,,,Unknown,a281843d7edd1467aed2222b7e12828d
MMA,20250615,Rose Namajunas,Miranda Maverick,,,Unknown,77264eb319c5a8ec628c39fa89ea80fe
MMA,20250615,Kamaru Usman,Joaquin Buckley,,,Unknown,0ce562cd291c6e66110561656e36c279
MMA,20250615,Emmanuel Sanchez,Zach Zane,,,Unknown,5b28ff9e09566e3e8dc13220ef34e2a9
NRL,20250615,South Sydney Rabbitohs,Canterbury Bulldogs,,,Unknown,ff8cc82603d306f137bc367996648a72
Serie B - Italy,20250615,Sampdoria,Salernitana,,,Unknown,0952e73f7cf19fbdd9ddafec10a92127
La Liga 2 - Spain,20250615,CD Mirandés,Oviedo,,,Unknown,b02b3685e78ff1a092c9c127ff7e2cd3
