Sport,Match Date,Home Team,Away Team,Home Score,Away Score,Status,Game ID
AFL,20250724,Hawthorn Hawks,Carlton Blues,,,Unknown,aec9362c0a4372ecd2fdda660bb8d3ad
Boxing,20250724,Manuel Flores,Jorge Chavez,,,Unknown,04edf2b5c8df6202390127aa9383880c
MMA,20250724,Khotam Boynazarov,James Llontop,,,Unknown,b328b34d95356b6a10eb453b6a580afd
NRL,20250724,Sydney Roosters,Melbourne Storm,,,Unknown,b49a0e4a83480a13da7af6447c5a1688
