Sport,Match Date,Home Team,Away Team,Home Team Odds,Away Team Odds,Bookmaker,Compiled_At
AFL,2025-06-19 06:10:00,Fremantle Dockers,Essendon Bombers,1.143,5.5,DraftKings,2025-06-18 23:51:33
AFL,2025-06-19 06:10:00,Fremantle Dockers,Essendon Bombers,1.111,6.0,Bovada,2025-06-18 23:51:33
AFL,2025-06-19 06:10:00,Fremantle Dockers,Essendon Bombers,1.143,5.5,BetUS,2025-06-18 23:51:33
NBA,2025-06-19 20:35:00,Indiana Pacers,Oklahoma City Thunder,3.1,1.388,DraftKings,2025-06-18 23:51:33
NBA,2025-06-19 20:35:00,Indiana Pacers,Oklahoma City Thunder,3.1,1.392,FanDuel,2025-06-18 23:51:33
NBA,2025-06-19 20:35:00,Indiana Pacers,Oklahoma City Thunder,3.0,1.4,Fanatics,2025-06-18 23:51:33
NBA,2025-06-19 20:35:00,Indiana Pacers,Oklahoma City Thunder,3.1,1.385,Caesars,2025-06-18 23:51:33
NBA,2025-06-19 20:35:00,Indiana Pacers,Oklahoma City Thunder,3.0,1.417,Bovada,2025-06-18 23:51:33
NBA,2025-06-19 20:35:00,Indiana Pacers,Oklahoma City Thunder,3.1,1.403,LowVig.ag,2025-06-18 23:51:33
NBA,2025-06-19 20:35:00,Indiana Pacers,Oklahoma City Thunder,3.07,1.4,BetOnline.ag,2025-06-18 23:51:33
NBA,2025-06-19 20:35:00,Indiana Pacers,Oklahoma City Thunder,3.0,1.4,BetMGM,2025-06-18 23:51:33
NBA,2025-06-19 20:35:00,Indiana Pacers,Oklahoma City Thunder,3.0,1.408,BetRivers,2025-06-18 23:51:33
NBA,2025-06-19 20:35:00,Indiana Pacers,Oklahoma City Thunder,3.1,1.4,BetUS,2025-06-18 23:51:33
Boxing,2025-06-19 04:00:00,Brian Norman Jr,Jin Sasaki,1.182,4.8,DraftKings,2025-06-18 23:51:33
Boxing,2025-06-19 04:00:00,Brian Norman Jr,Jin Sasaki,1.167,5.0,BetUS,2025-06-18 23:51:33
Boxing,2025-06-19 04:00:00,Brian Norman Jr,Jin Sasaki,1.154,5.0,Bovada,2025-06-18 23:51:33
Boxing,2025-06-19 04:00:00,Brian Norman Jr,Jin Sasaki,1.16,5.0,LowVig.ag,2025-06-18 23:51:33
Boxing,2025-06-19 04:00:00,Brian Norman Jr,Jin Sasaki,1.16,5.0,BetOnline.ag,2025-06-18 23:51:33
Boxing,2025-06-19 04:00:00,Brian Norman Jr,Jin Sasaki,1.154,5.1,FanDuel,2025-06-18 23:51:33
Boxing,2025-06-19 04:00:00,Brian Norman Jr,Jin Sasaki,1.2,5.0,BetMGM,2025-06-18 23:51:33
Boxing,2025-06-19 04:00:00,Brian Norman Jr,Jin Sasaki,1.189,4.3,BetRivers,2025-06-18 23:51:33
Boxing,2025-06-19 04:00:00,Christian Araneta,Thanongsak Simsri,1.658,2.12,BetRivers,2025-06-18 23:51:33
Boxing,2025-06-19 04:00:00,Christian Araneta,Thanongsak Simsri,1.714,2.06,FanDuel,2025-06-18 23:51:33
Boxing,2025-06-19 04:00:00,Christian Araneta,Thanongsak Simsri,1.667,2.17,LowVig.ag,2025-06-18 23:51:33
Boxing,2025-06-19 04:00:00,Christian Araneta,Thanongsak Simsri,1.667,2.2,BetUS,2025-06-18 23:51:33
Boxing,2025-06-19 04:00:00,Christian Araneta,Thanongsak Simsri,1.667,2.15,Bovada,2025-06-18 23:51:33
Boxing,2025-06-19 04:00:00,Christian Araneta,Thanongsak Simsri,1.667,2.17,BetOnline.ag,2025-06-18 23:51:33
Boxing,2025-06-19 04:00:00,Christian Araneta,Thanongsak Simsri,1.667,2.2,DraftKings,2025-06-18 23:51:33
Test Matches,2025-06-19 00:15:00,Sri Lanka,Bangladesh,8.5,4.5,BetRivers,2025-06-18 23:51:33
