Sport,Match Date,Home Team,Away Team,Home Score,Away Score,Status,Game ID
AFL,20250316,Melbourne Demons,Greater Western Sydney Giants,74,77,Completed,5324842aa5c77df0a4e8a134c88f72ae
AFL,20250316,West Coast Eagles,Gold Coast Suns,49,136,Completed,ffed91005faa0c1375d28b659847e5b5
NBA,20250316,Dallas Mavericks,Philadelphia 76ers,125,130,Completed,9fe3de8d645431ad5b81db617d6ee571
NBA,20250316,Cleveland Cavaliers,Orlando Magic,103,108,Completed,2aef8b9b69f0d0e62ae6dafc2524f51e
NBA,20250316,Los Angeles Lakers,Phoenix Suns,107,96,Completed,9f5ae1d0355f9d38a8af0a228fe45053
NBA,20250316,Brooklyn Nets,Atlanta Hawks,122,114,Completed,6a2e8167d9f15bd39be325fad0df92d9
NBA,20250316,Portland Trail Blazers,Toronto Raptors,105,102,Completed,01b048c1857901dd9f688741cc4c13c2
NBA,20250316,Los Angeles Clippers,Charlotte Hornets,123,88,Completed,fc8d0c4c0e2a57e7ea9c06c5fb35a291
NBA,20250316,Minnesota Timberwolves,Utah Jazz,128,102,Completed,085c54e542467c56637a2e0ccd86d9ee
NBA,20250316,Milwaukee Bucks,Oklahoma City Thunder,,,Unknown,88c8cb14a4897c96f7cefbddaa9c063f
NCAAB,20250316,Yale Bulldogs,Cornell Big Red,90,84,Completed,bec2c6813be55b3efec4a4ecb26a2634
NCAAB,20250316,Florida Gators,Tennessee Volunteers,86,77,Completed,15b3a8758dc7f03e6b8b214de7d31cea
NCAAB,20250316,VCU Rams,George Mason Patriots,68,63,Completed,2fa4dca2d116dccb021287c57d31de9c
NCAAB,20250316,Memphis Tigers,UAB Blazers,84,72,Completed,c773eb4b742117a3ba3d0fcb7f2fa1f8
NCAAB,20250316,Michigan Wolverines,Wisconsin Badgers,59,53,Completed,dcd877d577bd4af27ec0fc9f81b5d15e
NHL,20250316,Detroit Red Wings,Vegas Golden Knights,3,0,Completed,f9694955cc84546edcd8c0fa373a7127
NHL,20250316,Colorado Avalanche,Dallas Stars,4,3,Completed,fccb884c5bd7ce278119552aba926427
NHL,20250316,New York Rangers,Edmonton Oilers,1,3,Completed,fe8a705bdc4049ddf776108ca4206500
NHL,20250316,New York Islanders,Florida Panthers,4,2,Completed,2f73cbde97f9c10b4064de8a6df15ffe
NHL,20250316,Vancouver Canucks,Utah Hockey Club,1,3,Completed,d390467a40d1f344ba2950593a1d9eeb
NHL,20250316,St Louis Blues,Anaheim Ducks,7,2,Completed,a9036ce6d11353e31664041998014edb
NHL,20250316,Seattle Kraken,Winnipeg Jets,2,3,Completed,80d3e18610d32424304f742b11bc87b1
NRL,20250316,Parramatta Eels,Wests Tigers,6,32,Completed,1be5f92c6ca11257387894d3bd4cdc54
NRL,20250316,Canterbury Bulldogs,Gold Coast Titans,40,24,Completed,cc2ea04a74a89f303231b3cd78f775cb
Primera División - Argentina,20250316,Independiente,Racing Club,1,1,Completed,4eca35bc4390ea50fe927afa752a1929
Primera División - Argentina,20250316,Boca Juniors,Defensa y Justicia,4,0,Completed,7c73ce482e3e3ead6d1cdf3c6edfd05f
Primera División - Argentina,20250316,Belgrano de Cordoba,Barracas Central,1,1,Completed,2c71e6038b1e408e09f8060ee0dd19aa
Primera División - Argentina,20250316,Lanus,Instituto de Córdoba,4,1,Completed,636b309066f2689d2a6e097c8baf3888
A-League,20250316,Auckland FC,Central Coast Mariners,2,2,Completed,66db0bba769e3c9de52180fd86ed8270
A-League,20250316,Newcastle Jets FC,Western United FC,2,6,Completed,8e138d2d607279bf276867d721634e6d
A-League,20250316,Sydney FC,Wellington Phoenix FC,1,1,Completed,ac104c7d71681e3abfd38620a5292fea
Austrian Football Bundesliga,20250316,Austria Klagenfurt,Rheindorf Altach,2,2,Completed,fd65943d4e56c272fdc3f04fb78b7170
Austrian Football Bundesliga,20250316,WSG Tirol,Austria Wien,0,2,Completed,b5435cff896f529ba440b94372b3c89d
Austrian Football Bundesliga,20250316,FC Blau-Weiß Linz,Hartberg,4,1,Completed,b9e1b42f13f1f672d07895253d690627
Austrian Football Bundesliga,20250316,Rapid Wien,Grazer AK,3,0,Completed,91c1f614215b4fd8c43c06bfbe6ab635
Austrian Football Bundesliga,20250316,RB Salzburg,Wolfsberger AC,1,0,Completed,d4245c445ff3d521962b7a8584f4ced2
Austrian Football Bundesliga,20250316,Sturm Graz,LASK,4,2,Completed,7dc33ce8815ecb8e6df5d546c2c504b3
Belgium First Div,20250316,Standard Liege,Royal Antwerp,0,0,Completed,5dc716a143d6a85cb21384a9c33c5865
Belgium First Div,20250316,Anderlecht,Cercle Brugge KSV,3,0,Completed,cfe01c5ba65d45040a0f353b58464d1e
Belgium First Div,20250316,Beerschot Wilrijk,Westerlo,1,2,Completed,69f927d2dbff2ba7e350b206a503f435
Belgium First Div,20250316,Club Brugge,Charleroi,4,2,Completed,dba3418a50b84fcb22ec225f63d4520d
Belgium First Div,20250316,KV Mechelen,Dender,2,1,Completed,b30711335e68d089fe99010e7e2054e9
