Sport,Match Date,Home Team,Away Team,Home Team Odds,Away Team Odds,Bookmaker,Compiled_At
NHL,2025-06-04 20:10:00,Edmonton Oilers,Florida Panthers,1.769,2.1,DraftKings,2025-06-03 23:49:57
NHL,2025-06-04 20:10:00,Edmonton Oilers,Florida Panthers,1.787,2.13,BetOnline.ag,2025-06-03 23:49:57
NHL,2025-06-04 20:10:00,Edmonton Oilers,Florida Panthers,1.787,2.13,LowVig.ag,2025-06-03 23:49:57
NHL,2025-06-04 20:10:00,Edmonton Oilers,Florida Panthers,1.758,2.1,BetRivers,2025-06-03 23:49:57
NHL,2025-06-04 20:10:00,Edmonton Oilers,Florida Panthers,1.769,2.1,BetMGM,2025-06-03 23:49:57
NHL,2025-06-04 20:10:00,Edmonton Oilers,Florida Panthers,1.769,2.1,BetUS,2025-06-03 23:49:57
NHL,2025-06-04 20:10:00,Edmonton Oilers,Florida Panthers,1.758,2.1,FanDuel,2025-06-03 23:49:57
NHL,2025-06-04 20:10:00,Edmonton Oilers,Florida Panthers,1.741,2.15,Caesars,2025-06-03 23:49:57
NHL,2025-06-04 20:10:00,Edmonton Oilers,Florida Panthers,1.769,2.1,Fanatics,2025-06-03 23:49:57
NHL,2025-06-04 20:10:00,Edmonton Oilers,Florida Panthers,1.725,2.17,Bovada,2025-06-03 23:49:57
