Sport,Match Date,Home Team,Away Team,Home Score,Away Score,Status,Game ID
NHL,20250604,Edmonton Oilers,Florida Panthers,4,3,Completed,deeff59e8e10bee3b14bca9dadeba97a
NHL,20250604,Edmonton Oilers,Florida Panthers,,,Unknown,e643c4706f496bd0d52a51d10d516032
