Sport,Match Date,Home Team,Away Team,Home Score,Away Score,Status,Game ID
NBA,20250514,Boston Celtics,New York Knicks,127,102,Completed,9257238b369a40521569c6cc2b147d7f
NBA,20250514,Minnesota Timberwolves,Golden State Warriors,,,Unknown,551a4b401ac8558669eaa7a0a801718b
NHL,20250514,Toronto Maple Leafs,Florida Panthers,1,6,Completed,0421c85b75253b2c5ab39f394ecb59f4
NHL,20250514,Vegas Golden Knights,Edmonton Oilers,,,Unknown,8bc67f62969a31cf08fd993eec244007
Copa Libertadores,20250514,Atlético Nacional S.A,Bahia,1,0,Completed,bf272d6ed6df5f59599ebb056557f14f
Copa Libertadores,20250514,Velez Sarsfield,C.D. San Antonio Bulo Bulo,3,0,Completed,4c3df29252966544facadc82806ba5c7
Copa Libertadores,20250514,Peñarol Montevideo,Olimpia Asunción,3,2,Completed,4f36e4a68d0bd09000e424a5656b32f1
Copa Libertadores,20250514,Botafogo,Estudiantes La Plata,3,2,Completed,55b2f51f063e330b936a1e476afa6afe
Copa Libertadores,20250514,Racing Club,Colo Colo,4,0,Completed,47d5412fe823e553299179ae43104ada
Copa Libertadores,20250514,Sao Paulo,Libertad Asuncion,1,1,Completed,083dce66251ea440123307574b77aaaf
Copa Libertadores,20250514,Club Universitario de Deportes,Barcelona SC,,,Unknown,408633d41f597856ff6d99efc541d09d
League 1,20250514,Stockport County FC,Leyton Orient,1,1,Completed,37ba4bc69ea42c5dc2a3e1ea7b0f232f
Ligue 2 - France,20250514,USL Dunkerque,Guingamp,1,0,Completed,fc85a33170cff060b4483f50377623ef
Super League - Greece,20250514,Levadiakos,Panetolikos Agrinio,1,2,Completed,3eed4045545aecca21f70774ca080b2d
Super League - Greece,20250514,Athens Kallithea FC,Panserraikos FC,1,1,Completed,06b4e7b9188ae8e44c389513536d4000
Super League - Greece,20250514,Volos FC,PAS Lamia 1964,3,0,Completed,5f5df3a1a7f3f795ec002e7becbcbff2
Liga MX,20250514,Tigres,Toluca,,,Unknown,59cab63dafa98fc169ce9b2d50f92c10
Dutch Eredivisie,20250514,Groningen,Ajax,2,2,Completed,2509dd90c667b723e1ca7f5fc3a72581
Dutch Eredivisie,20250514,Almere City,Fortuna Sittard,1,1,Completed,b4fedc8cc789720c5fabe4bf0a352cfb
Dutch Eredivisie,20250514,Feyenoord,RKC Waalwijk,2,0,Completed,1c6d383c3124dd84ce2dc3f19456c6b0
Dutch Eredivisie,20250514,Go Ahead Eagles,Heerenveen,1,0,Completed,59a2ebf5b4552ced37a1f2c67d9f070c
Dutch Eredivisie,20250514,PSV Eindhoven,Heracles Almelo,4,1,Completed,1f31810fe4c6f300a0d43d0c7c187e2e
Dutch Eredivisie,20250514,Willem II,FC Zwolle,1,2,Completed,5ca25a798a85c05598ca5fa015959787
Dutch Eredivisie,20250514,NEC Nijmegen,NAC Breda,3,0,Completed,77d185047842738cff85a53d28e4839d
Dutch Eredivisie,20250514,FC Utrecht,Sparta Rotterdam,1,1,Completed,2682d3d3fe7c70d51a81d0eb23b01c7f
Dutch Eredivisie,20250514,FC Twente Enschede,AZ Alkmaar,2,3,Completed,5f5dbab865735f5440ea662d64e80f18
La Liga - Spain,20250514,Villarreal,Leganés,3,0,Completed,304ab1c46e45039053833fd587878435
La Liga - Spain,20250514,Alavés,Valencia,1,0,Completed,aae38af565bf4e3fd2bbbc49b71e29b7
La Liga - Spain,20250514,Real Madrid,Mallorca,2,1,Completed,cf3a3d1e105d72fb29397f4ed717b0b9
Premiership - Scotland,20250514,Rangers,Dundee United,3,1,Completed,8099f5d2372ea5d47ddbd5761dfac6ac
Premiership - Scotland,20250514,Motherwell,Kilmarnock,3,0,Completed,341c44adc3faa0e38ef817ac3f653b04
Premiership - Scotland,20250514,Hearts,St Johnstone,2,1,Completed,9d824840741843b112a0688249f5df8b
Premiership - Scotland,20250514,Dundee FC,Ross County,1,1,Completed,ca920745b237b3ff52ff9708aeed1474
Premiership - Scotland,20250514,St Mirren,Hibernian,2,2,Completed,855113bedd695ee49c1d777ba740b5c6
Premiership - Scotland,20250514,Aberdeen,Celtic,1,5,Completed,1eb1701daac7af2aca5139ac46420636
Swiss Superleague,20250514,Grasshopper Zürich,Yverdon Sport FC,5,0,Completed,ac1fa1a07b90b32284e0d4bdc078a570
Swiss Superleague,20250514,FC Lausanne-Sport,FC Basel,2,3,Completed,c04af49828c009483e57425acb0c7735
