Sport,Match Date,Home Team,Away Team,Home Team Odds,Away Team Odds,Bookmaker,Draw Odds,Compiled_At
AFL,2025-03-28 04:40:00,Carlton Blues,Western Bulldogs,2.1,1.714,DraftKings,,2025-03-27 23:35:16
AFL,2025-03-28 04:40:00,Carlton Blues,Western Bulldogs,1.952,1.8,Bovada,,2025-03-27 23:35:16
AFL,2025-03-28 04:40:00,Carlton Blues,Western Bulldogs,2.1,1.714,BetUS,,2025-03-27 23:35:16
AFL,2025-03-28 22:20:00,Melbourne Demons,Gold Coast Suns,1.952,1.8,DraftKings,,2025-03-27 23:35:16
AFL,2025-03-28 22:20:00,Melbourne Demons,Gold Coast Suns,2.0,1.769,Bovada,,2025-03-27 23:35:16
AFL,2025-03-28 22:20:00,Melbourne Demons,Gold Coast Suns,2.0,1.769,BetUS,,2025-03-27 23:35:16
Basketball Euroleague,2025-03-28 13:30:00,Anadolu Efes,Maccabi Tel Aviv,1.187,5.0,DraftKings,,2025-03-27 23:35:16
Basketball Euroleague,2025-03-28 13:30:00,Anadolu Efes,Maccabi Tel Aviv,1.182,5.0,Bovada,,2025-03-27 23:35:16
Basketball Euroleague,2025-03-28 13:30:00,Anadolu Efes,Maccabi Tel Aviv,1.19,5.22,BetOnline.ag,,2025-03-27 23:35:16
Basketball Euroleague,2025-03-28 13:30:00,Anadolu Efes,Maccabi Tel Aviv,1.19,5.22,LowVig.ag,,2025-03-27 23:35:16
Basketball Euroleague,2025-03-28 13:45:00,Fenerbahce SK,Saski Baskonia,1.167,5.4,DraftKings,,2025-03-27 23:35:16
Basketball Euroleague,2025-03-28 13:45:00,Fenerbahce SK,Saski Baskonia,1.167,5.25,Bovada,,2025-03-27 23:35:16
Basketball Euroleague,2025-03-28 13:45:00,Fenerbahce SK,Saski Baskonia,1.175,5.52,BetOnline.ag,,2025-03-27 23:35:16
Basketball Euroleague,2025-03-28 13:45:00,Fenerbahce SK,Saski Baskonia,1.175,5.52,LowVig.ag,,2025-03-27 23:35:16
Basketball Euroleague,2025-03-28 15:00:00,ALBA Berlin,Virtus Segafredo Bologna,1.704,2.2,DraftKings,,2025-03-27 23:35:16
Basketball Euroleague,2025-03-28 15:00:00,ALBA Berlin,Virtus Segafredo Bologna,1.714,2.15,Bovada,,2025-03-27 23:35:16
Basketball Euroleague,2025-03-28 15:00:00,ALBA Berlin,Virtus Segafredo Bologna,1.73,2.17,LowVig.ag,,2025-03-27 23:35:16
Basketball Euroleague,2025-03-28 15:00:00,ALBA Berlin,Virtus Segafredo Bologna,1.73,2.17,BetOnline.ag,,2025-03-27 23:35:16
Basketball Euroleague,2025-03-28 15:00:00,KK Crvena zvezda,Real Madrid,2.05,1.8,DraftKings,,2025-03-27 23:35:16
Basketball Euroleague,2025-03-28 15:00:00,KK Crvena zvezda,Real Madrid,2.05,1.8,Bovada,,2025-03-27 23:35:16
Basketball Euroleague,2025-03-28 15:00:00,KK Crvena zvezda,Real Madrid,2.05,1.8,BetOnline.ag,,2025-03-27 23:35:16
Basketball Euroleague,2025-03-28 15:00:00,KK Crvena zvezda,Real Madrid,2.05,1.8,LowVig.ag,,2025-03-27 23:35:16
Basketball Euroleague,2025-03-28 15:15:00,Panathinaikos,Paris Basketball,1.253,4.1,DraftKings,,2025-03-27 23:35:16
Basketball Euroleague,2025-03-28 15:15:00,Panathinaikos,Paris Basketball,1.25,4.0,Bovada,,2025-03-27 23:35:16
Basketball Euroleague,2025-03-28 15:15:00,Panathinaikos,Paris Basketball,1.256,4.1,BetOnline.ag,,2025-03-27 23:35:16
