Sport,Match Date,Home Team,Away Team,Home Team Odds,Away Team Odds,Bookmaker,Draw Odds,Compiled_At
MMA,2025-08-12 19:00:00,Yuri Panferov,Christopher Ewert,2.4,1.588,BetOnline.ag,,2025-08-11 00:08:30
Copa Libertadores,2025-08-12 18:00:00,Fortaleza-EC,Velez Sarsfield,2.06,4.0,BetRivers,3.35,2025-08-11 00:08:30
Copa Libertadores,2025-08-12 18:00:00,Fortaleza-EC,Velez Sarsfield,2.1,3.8,Bovada,3.2,2025-08-11 00:08:30
Copa Libertadores,2025-08-12 18:00:00,Fortaleza-EC,Velez Sarsfield,2.1,3.8,BetUS,3.2,2025-08-11 00:08:30
Copa Libertadores,2025-08-12 18:00:00,Fortaleza-EC,Velez Sarsfield,2.03,3.9,LowVig.ag,3.12,2025-08-11 00:08:30
Copa Libertadores,2025-08-12 20:30:00,Atlético Nacional S.A,Sao Paulo,2.23,3.65,BetRivers,3.15,2025-08-11 00:08:30
Copa Libertadores,2025-08-12 20:30:00,Atlético Nacional S.A,Sao Paulo,2.22,3.52,LowVig.ag,2.98,2025-08-11 00:08:30
Copa Libertadores,2025-08-12 20:30:00,Peñarol Montevideo,Racing Club,2.9,3.1,BetRivers,2.7,2025-08-11 00:08:30
Copa Libertadores,2025-08-12 20:30:00,Peñarol Montevideo,Racing Club,2.75,2.8,Bovada,3.05,2025-08-11 00:08:30
Copa Libertadores,2025-08-12 20:30:00,Peñarol Montevideo,Racing Club,2.75,2.8,BetUS,3.05,2025-08-11 00:08:30
Copa Libertadores,2025-08-12 20:30:00,Peñarol Montevideo,Racing Club,2.72,2.92,LowVig.ag,2.78,2025-08-11 00:08:30
EFL Cup,2025-08-12 14:00:00,Swansea City,Crawley Town,1.323,8.0,FanDuel,5.1,2025-08-11 00:08:30
EFL Cup,2025-08-12 14:00:00,Swansea City,Crawley Town,1.357,7.0,Bovada,4.8,2025-08-11 00:08:30
EFL Cup,2025-08-12 14:00:00,Swansea City,Crawley Town,1.4,7.25,BetMGM,5.0,2025-08-11 00:08:30
EFL Cup,2025-08-12 14:00:00,Swansea City,Crawley Town,1.408,6.75,BetRivers,5.25,2025-08-11 00:08:30
