Sport,Match Date,Home Team,Away Team,Home Score,Away Score,Status,Game ID
AFL,20250612,St Kilda Saints,Western Bulldogs,60,132,Completed,26f1f790e298cb37b21d832d97dc7f6e
NHL,20250612,Florida Panthers,Edmonton Oilers,4,5,Completed,8818a6d6628e2990771939493a63d358
MMA,20250612,Logan Storley,Masayuki Kikuiri,,,Unknown,7fa4e0e06a3e760c23e7c3c494b1b472
MMA,20250612,Jesus Pinedo,Gabriel Alves Braga,,,Unknown,ab44b72f3b099634b335a4a7fa3a7b6c
MMA,20250612,Jason Jackson,Thad Jean,,,Unknown,522d5669119653be7ec8db6715fc08d0
NRL,20250612,Cronulla Sutherland Sharks,St George Illawarra Dragons,30,18,Completed,64dd163440a8dfcdaa364b95391821e1
La Liga 2 - Spain,20250612,CD Mirandés,Real Racing Club de Santander,4,1,Completed,f92ca0cf283f4f0b4a5b8f4f3b2a375a
