Sport,Match Date,Home Team,Away Team,Home Score,Away Score,Status,Game ID
AFL,20250606,Adelaide Crows,Brisbane Lions,68,63,Completed,36e2d0d9c4ce7bf45624a691dbcc4a32
AFL,20250606,Richmond Tigers,Sydney Swans,,,Unknown,6f1fad07540f80b7c6a72b40c283a6ce
NHL,20250606,Edmonton Oilers,Florida Panthers,,,Unknown,e643c4706f496bd0d52a51d10d516032
NRL,20250606,Melbourne Storm,North Queensland Cowboys,38,14,Completed,6b659f1580fdc4f0fec572b323d1c770
NRL,20250606,Dolphins,St George Illawarra Dragons,56,6,Completed,89daf3dc493cdf8e839bfb5380fee6ab
