Sport,Match Date,Home Team,Away Team,Home Score,Away Score,Status,Game ID
AFL,20250629,Richmond Tigers,Adelaide Crows,,,Unknown,79fafee5f0257a307178b137c8ede50a
AFL,20250629,Fremantle Dockers,St Kilda Saints,,,Unknown,fad890be3f0a4ea54e3a419a91d9608a
Boxing,20250629,Jake Paul,Julio César Chávez Jr.,,,Unknown,0fb22f110c8532f32f952b3052efd50d
Test Matches,20250629,Zimbabwe,South Africa,,,Unknown,ef820524ad2d533d78a8990bfa2bc4f0
MMA,20250629,Alexandre Pantoja,Kai Kara-France,,,Unknown,223920707add0304981d26f3ee1b0e3e
MMA,20250629,Ilia Topuria,Charles Oliveira,,,Unknown,0b8977531fbe74978cbd912847f6ba70
MMA,20250629,Ray Cooper III,Dante Schiro,,,Unknown,f00b99b12ccbd225544774eb5d9562b7
NRL,20250629,Melbourne Storm,Cronulla Sutherland Sharks,,,Unknown,33f078e58e24553e09dbe79927dcd22f
NRL,20250629,Gold Coast Titans,North Queensland Cowboys,,,Unknown,6ebabf8c54d8acd01e62c2e23efd453a
