Sport,Match Date,Home Team,Away Team,Home Team Odds,Away Team Odds,Bookmaker,Draw Odds,Compiled_At
AFL,2025-05-24 02:15:00,Hawthorn Hawks,Brisbane Lions,1.426,2.8,DraftKings,,2025-05-23 23:39:55
AFL,2025-05-24 02:15:00,Hawthorn Hawks,Brisbane Lions,1.476,2.6,Bovada,,2025-05-23 23:39:55
AFL,2025-05-24 02:15:00,Hawthorn Hawks,Brisbane Lions,1.526,2.6,BetUS,,2025-05-23 23:39:55
AFL,2025-05-24 05:35:00,North Melbourne Kangaroos,Collingwood Magpies,4.8,1.182,DraftKings,,2025-05-23 23:39:55
AFL,2025-05-24 05:35:00,North Melbourne Kangaroos,Collingwood Magpies,5.25,1.143,Bovada,,2025-05-23 23:39:55
AFL,2025-05-24 05:35:00,North Melbourne Kangaroos,Collingwood Magpies,5.0,1.167,BetUS,,2025-05-23 23:39:55
AFL,2025-05-24 06:10:00,Fremantle Dockers,Port Adelaide Power,1.312,3.4,DraftKings,,2025-05-23 23:39:55
AFL,2025-05-24 06:10:00,Fremantle Dockers,Port Adelaide Power,1.323,3.35,BetUS,,2025-05-23 23:39:55
AFL,2025-05-24 23:10:00,Adelaide Crows,West Coast Eagles,1.056,9.0,DraftKings,,2025-05-23 23:39:55
AFL,2025-05-24 23:10:00,Adelaide Crows,West Coast Eagles,1.015,16.0,Bovada,,2025-05-23 23:39:55
NBA,2025-05-24 20:30:00,Minnesota Timberwolves,Oklahoma City Thunder,2.2,1.704,FanDuel,,2025-05-23 23:39:55
NBA,2025-05-24 20:30:00,Minnesota Timberwolves,Oklahoma City Thunder,2.17,1.73,BetRivers,,2025-05-23 23:39:55
NBA,2025-05-24 20:30:00,Minnesota Timberwolves,Oklahoma City Thunder,2.2,1.704,DraftKings,,2025-05-23 23:39:55
NBA,2025-05-24 20:30:00,Minnesota Timberwolves,Oklahoma City Thunder,2.25,1.667,Fanatics,,2025-05-23 23:39:55
NBA,2025-05-24 20:30:00,Minnesota Timberwolves,Oklahoma City Thunder,2.22,1.725,LowVig.ag,,2025-05-23 23:39:55
NBA,2025-05-24 20:30:00,Minnesota Timberwolves,Oklahoma City Thunder,2.2,1.714,BetOnline.ag,,2025-05-23 23:39:55
NBA,2025-05-24 20:30:00,Minnesota Timberwolves,Oklahoma City Thunder,2.18,1.69,BetMGM,,2025-05-23 23:39:55
NBA,2025-05-24 20:30:00,Minnesota Timberwolves,Oklahoma City Thunder,2.15,1.709,MyBookie.ag,,2025-05-23 23:39:55
NBA,2025-05-24 20:30:00,Minnesota Timberwolves,Oklahoma City Thunder,2.18,1.714,Caesars,,2025-05-23 23:39:55
NBA,2025-05-24 20:30:00,Minnesota Timberwolves,Oklahoma City Thunder,2.35,1.625,Bovada,,2025-05-23 23:39:55
NBA,2025-05-24 20:30:00,Minnesota Timberwolves,Oklahoma City Thunder,2.15,1.741,BetUS,,2025-05-23 23:39:55
Boxing,2025-05-24 02:00:00,Angelo Leo,Tomoki Kameda,1.167,4.91,LowVig.ag,,2025-05-23 23:39:55
Boxing,2025-05-24 02:00:00,Angelo Leo,Tomoki Kameda,1.143,5.5,BetUS,,2025-05-23 23:39:55
Boxing,2025-05-24 02:00:00,Angelo Leo,Tomoki Kameda,1.167,4.75,Bovada,,2025-05-23 23:39:55
Boxing,2025-05-24 02:00:00,Angelo Leo,Tomoki Kameda,1.143,5.4,FanDuel,,2025-05-23 23:39:55
Boxing,2025-05-24 02:00:00,Angelo Leo,Tomoki Kameda,1.167,4.91,BetOnline.ag,,2025-05-23 23:39:55
Boxing,2025-05-24 02:00:00,Angelo Leo,Tomoki Kameda,1.182,4.9,DraftKings,,2025-05-23 23:39:55
Boxing,2025-05-24 02:00:00,Angelo Leo,Tomoki Kameda,1.14,5.6,BetRivers,,2025-05-23 23:39:55
Boxing,2025-05-24 12:00:00,Alex Arthur Jr,Robbie Chapman,1.007,19.0,Bovada,,2025-05-23 23:39:55
Boxing,2025-05-24 12:00:00,Alex Arthur Jr,Robbie Chapman,1.02,13.0,BetUS,,2025-05-23 23:39:55
Boxing,2025-05-24 12:00:00,Alex Arthur Jr,Robbie Chapman,1.01,17.0,BetRivers,,2025-05-23 23:39:55
Boxing,2025-05-24 12:00:00,Aloys Youmbi,David Jamieson,1.033,9.9,FanDuel,,2025-05-23 23:39:55
Boxing,2025-05-24 12:00:00,Aloys Youmbi,David Jamieson,1.04,12.0,BetOnline.ag,,2025-05-23 23:39:55
Boxing,2025-05-24 12:00:00,Aloys Youmbi,David Jamieson,1.04,12.0,LowVig.ag,,2025-05-23 23:39:55
Boxing,2025-05-24 12:00:00,Aloys Youmbi,David Jamieson,1.02,15.0,Bovada,,2025-05-23 23:39:55
Boxing,2025-05-24 12:00:00,Aloys Youmbi,David Jamieson,1.05,11.0,BetMGM,,2025-05-23 23:39:55
Boxing,2025-05-24 12:00:00,Aloys Youmbi,David Jamieson,1.03,13.0,BetRivers,,2025-05-23 23:39:55
Boxing,2025-05-24 12:00:00,Nathaniel Collins,Lee McGregor,1.469,2.73,BetUS,,2025-05-23 23:39:55
Boxing,2025-05-24 12:00:00,Nathaniel Collins,Lee McGregor,1.4,2.85,Bovada,,2025-05-23 23:39:55
Boxing,2025-05-24 12:00:00,Nathaniel Collins,Lee McGregor,1.465,2.56,FanDuel,,2025-05-23 23:39:55
Boxing,2025-05-24 12:00:00,Nathaniel Collins,Lee McGregor,1.377,2.99,LowVig.ag,,2025-05-23 23:39:55
Boxing,2025-05-24 12:00:00,Nathaniel Collins,Lee McGregor,1.377,2.99,BetOnline.ag,,2025-05-23 23:39:55
Boxing,2025-05-24 12:00:00,Nathaniel Collins,Lee McGregor,1.526,2.5,DraftKings,,2025-05-23 23:39:55
Boxing,2025-05-24 12:00:00,Nathaniel Collins,Lee McGregor,1.526,2.6,BetMGM,,2025-05-23 23:39:55
Boxing,2025-05-24 12:00:00,Nathaniel Collins,Lee McGregor,1.465,2.55,BetRivers,,2025-05-23 23:39:55
Boxing,2025-05-24 12:00:00,Luke McCormack,Samir Cuentas,1.012,20.0,DraftKings,,2025-05-23 23:39:55
Boxing,2025-05-24 12:00:00,Luke McCormack,Samir Cuentas,1.003,22.0,Bovada,,2025-05-23 23:39:55
Boxing,2025-05-24 12:00:00,Luke McCormack,Samir Cuentas,1.007,21.0,LowVig.ag,,2025-05-23 23:39:55
Boxing,2025-05-24 12:00:00,Luke McCormack,Samir Cuentas,1.01,21.0,BetUS,,2025-05-23 23:39:55
Boxing,2025-05-24 12:00:00,Luke McCormack,Samir Cuentas,1.007,21.0,BetOnline.ag,,2025-05-23 23:39:55
Boxing,2025-05-24 12:00:00,Luke McCormack,Samir Cuentas,1.01,17.0,BetMGM,,2025-05-23 23:39:55
Boxing,2025-05-24 12:00:00,Luke McCormack,Samir Cuentas,1.01,19.0,BetRivers,,2025-05-23 23:39:55
Boxing,2025-05-24 16:30:00,Moses Itauma,Mike Balogun,1.012,17.0,DraftKings,,2025-05-23 23:39:55
Boxing,2025-05-24 16:30:00,Moses Itauma,Mike Balogun,1.01,18.0,Bovada,,2025-05-23 23:39:55
Boxing,2025-05-24 16:30:00,Moses Itauma,Mike Balogun,1.012,16.5,FanDuel,,2025-05-23 23:39:55
Boxing,2025-05-24 16:30:00,Moses Itauma,Mike Balogun,1.02,13.0,BetUS,,2025-05-23 23:39:55
Boxing,2025-05-24 16:30:00,Moses Itauma,Mike Balogun,1.01,18.0,BetRivers,,2025-05-23 23:39:55
Boxing,2025-05-24 17:00:00,Josh Taylor,Ekow Essuman,1.299,3.45,BetUS,,2025-05-23 23:39:55
Boxing,2025-05-24 17:00:00,Josh Taylor,Ekow Essuman,1.303,3.4,FanDuel,,2025-05-23 23:39:55
Boxing,2025-05-24 17:00:00,Josh Taylor,Ekow Essuman,1.286,3.5,Bovada,,2025-05-23 23:39:55
Boxing,2025-05-24 17:00:00,Josh Taylor,Ekow Essuman,1.278,3.5,BetRivers,,2025-05-23 23:39:55
Boxing,2025-05-24 17:00:00,Josh Taylor,Ekow Essuman,1.303,3.5,DraftKings,,2025-05-23 23:39:55
Boxing,2025-05-24 17:00:00,Josh Taylor,Ekow Essuman,1.294,3.47,LowVig.ag,,2025-05-23 23:39:55
Boxing,2025-05-24 17:00:00,Josh Taylor,Ekow Essuman,1.294,3.47,BetOnline.ag,,2025-05-23 23:39:55
Boxing,2025-05-24 17:00:00,Josh Taylor,Ekow Essuman,1.364,3.25,BetMGM,,2025-05-23 23:39:55
NHL,2025-05-24 20:10:00,Florida Panthers,Carolina Hurricanes,1.645,2.3,DraftKings,,2025-05-23 23:39:55
NHL,2025-05-24 20:10:00,Florida Panthers,Carolina Hurricanes,1.667,2.23,BetRivers,,2025-05-23 23:39:55
NHL,2025-05-24 20:10:00,Florida Panthers,Carolina Hurricanes,1.658,2.26,FanDuel,,2025-05-23 23:39:55
NHL,2025-05-24 20:10:00,Florida Panthers,Carolina Hurricanes,1.667,2.34,LowVig.ag,,2025-05-23 23:39:55
NHL,2025-05-24 20:10:00,Florida Panthers,Carolina Hurricanes,1.667,2.34,BetOnline.ag,,2025-05-23 23:39:55
NHL,2025-05-24 20:10:00,Florida Panthers,Carolina Hurricanes,1.645,2.3,BetMGM,,2025-05-23 23:39:55
NHL,2025-05-24 20:10:00,Florida Panthers,Carolina Hurricanes,1.625,2.25,MyBookie.ag,,2025-05-23 23:39:55
NHL,2025-05-24 20:10:00,Florida Panthers,Carolina Hurricanes,1.667,2.25,Fanatics,,2025-05-23 23:39:55
NHL,2025-05-24 20:10:00,Florida Panthers,Carolina Hurricanes,1.625,2.35,Caesars,,2025-05-23 23:39:55
NHL,2025-05-24 20:10:00,Florida Panthers,Carolina Hurricanes,1.667,2.29,BetUS,,2025-05-23 23:39:55
NHL,2025-05-24 20:10:00,Florida Panthers,Carolina Hurricanes,1.645,2.33,Bovada,,2025-05-23 23:39:55
MMA,2025-05-24 13:00:00,Levan Kirtadze,Baysangur Makaev,2.2,1.625,BetOnline.ag,,2025-05-23 23:39:55
MMA,2025-05-24 13:00:00,Kevin Dolvik,John Oldenqvist,1.588,2.3,BetOnline.ag,,2025-05-23 23:39:55
MMA,2025-05-24 17:00:00,Juan Pablo Vieira,Carlos Cavalcante,1.143,5.0,BetOnline.ag,,2025-05-23 23:39:55
MMA,2025-05-24 17:00:00,Joseilton Santos,Carlos Petruzzella,1.741,2.05,BetOnline.ag,,2025-05-23 23:39:55
MMA,2025-05-24 17:00:00,Paulo da Silva,Hugo Paiva,2.45,1.541,BetOnline.ag,,2025-05-23 23:39:55
MMA,2025-05-24 18:00:00,Inglesson de Lara,Bruno Henrique,1.5,2.6,BetOnline.ag,,2025-05-23 23:39:55
NRL,2025-05-24 03:30:00,Penrith Panthers,Newcastle Knights,1.538,2.48,BetRivers,,2025-05-23 23:39:55
NRL,2025-05-24 03:30:00,Penrith Panthers,Newcastle Knights,1.518,2.66,Bovada,,2025-05-23 23:39:55
NRL,2025-05-24 05:35:00,Sydney Roosters,Cronulla Sutherland Sharks,3.5,1.333,Bovada,,2025-05-23 23:39:55
NRL,2025-05-24 05:35:00,Sydney Roosters,Cronulla Sutherland Sharks,3.4,1.317,BetRivers,,2025-05-23 23:39:55
Primera División - Argentina,2025-05-24 17:30:00,Independiente,Atlético Huracán,1.98,4.33,BetMGM,2.95,2025-05-23 23:39:55
Primera División - Argentina,2025-05-24 17:30:00,Independiente,Atlético Huracán,2.0,4.3,Bovada,2.85,2025-05-23 23:39:55
Primera División - Argentina,2025-05-24 17:30:00,Independiente,Atlético Huracán,2.0,4.1,FanDuel,2.9,2025-05-23 23:39:55
Primera División - Argentina,2025-05-24 17:30:00,Independiente,Atlético Huracán,2.0,4.5,DraftKings,2.9,2025-05-23 23:39:55
Primera División - Argentina,2025-05-24 17:30:00,Independiente,Atlético Huracán,2.0,4.0,BetRivers,3.15,2025-05-23 23:39:55
Primera División - Argentina,2025-05-24 17:30:00,Independiente,Atlético Huracán,1.962,4.77,LowVig.ag,3.02,2025-05-23 23:39:55
Primera División - Argentina,2025-05-24 17:30:00,Independiente,Atlético Huracán,1.962,4.77,BetOnline.ag,3.02,2025-05-23 23:39:55
A-League,2025-05-24 02:00:00,Auckland FC,Melbourne Victory,2.05,3.6,DraftKings,3.45,2025-05-23 23:39:55
A-League,2025-05-24 02:00:00,Auckland FC,Melbourne Victory,2.0,3.5,BetMGM,3.5,2025-05-23 23:39:55
A-League,2025-05-24 02:00:00,Auckland FC,Melbourne Victory,2.0,3.6,Bovada,3.5,2025-05-23 23:39:55
A-League,2025-05-24 02:00:00,Auckland FC,Melbourne Victory,2.08,3.67,LowVig.ag,3.55,2025-05-23 23:39:55
A-League,2025-05-24 02:00:00,Auckland FC,Melbourne Victory,2.08,3.67,BetOnline.ag,3.55,2025-05-23 23:39:55
A-League,2025-05-24 02:00:00,Auckland FC,Melbourne Victory,2.0,3.6,BetUS,3.5,2025-05-23 23:39:55
A-League,2025-05-24 05:35:00,Melbourne City,Western United FC,1.952,3.55,DraftKings,3.7,2025-05-23 23:39:55
A-League,2025-05-24 05:35:00,Melbourne City,Western United FC,1.909,3.65,Bovada,3.6,2025-05-23 23:39:55
A-League,2025-05-24 05:35:00,Melbourne City,Western United FC,1.971,3.77,BetOnline.ag,3.8,2025-05-23 23:39:55
A-League,2025-05-24 05:35:00,Melbourne City,Western United FC,1.971,3.77,LowVig.ag,3.8,2025-05-23 23:39:55
A-League,2025-05-24 05:35:00,Melbourne City,Western United FC,1.909,3.65,BetUS,3.6,2025-05-23 23:39:55
Austrian Football Bundesliga,2025-05-24 11:00:00,Austria Wien,FC Blau-Weiß Linz,1.364,7.5,BetMGM,5.0,2025-05-23 23:39:55
Austrian Football Bundesliga,2025-05-24 11:00:00,Austria Wien,FC Blau-Weiß Linz,1.286,7.5,FanDuel,5.3,2025-05-23 23:39:55
Austrian Football Bundesliga,2025-05-24 11:00:00,Austria Wien,FC Blau-Weiß Linz,1.357,8.0,DraftKings,5.0,2025-05-23 23:39:55
Austrian Football Bundesliga,2025-05-24 11:00:00,Austria Wien,FC Blau-Weiß Linz,1.333,7.75,Bovada,4.8,2025-05-23 23:39:55
Austrian Football Bundesliga,2025-05-24 11:00:00,Austria Wien,FC Blau-Weiß Linz,1.278,9.0,BetRivers,5.4,2025-05-23 23:39:55
Austrian Football Bundesliga,2025-05-24 11:00:00,Austria Wien,FC Blau-Weiß Linz,1.333,7.75,BetUS,4.8,2025-05-23 23:39:55
Austrian Football Bundesliga,2025-05-24 11:00:00,Austria Wien,FC Blau-Weiß Linz,1.25,6.3,BetOnline.ag,4.5,2025-05-23 23:39:55
Austrian Football Bundesliga,2025-05-24 11:00:00,Austria Wien,FC Blau-Weiß Linz,1.25,6.3,LowVig.ag,4.5,2025-05-23 23:39:55
Austrian Football Bundesliga,2025-05-24 11:00:00,RB Salzburg,Rapid Wien,1.513,5.0,FanDuel,4.3,2025-05-23 23:39:55
Austrian Football Bundesliga,2025-05-24 11:00:00,RB Salzburg,Rapid Wien,1.556,5.25,DraftKings,4.4,2025-05-23 23:39:55
Austrian Football Bundesliga,2025-05-24 11:00:00,RB Salzburg,Rapid Wien,1.571,5.0,Bovada,4.2,2025-05-23 23:39:55
Austrian Football Bundesliga,2025-05-24 11:00:00,RB Salzburg,Rapid Wien,1.526,5.1,BetRivers,4.5,2025-05-23 23:39:55
Austrian Football Bundesliga,2025-05-24 11:00:00,RB Salzburg,Rapid Wien,1.51,5.2,BetUS,4.4,2025-05-23 23:39:55
Austrian Football Bundesliga,2025-05-24 11:00:00,RB Salzburg,Rapid Wien,1.51,5.2,BetOnline.ag,4.4,2025-05-23 23:39:55
Austrian Football Bundesliga,2025-05-24 11:00:00,RB Salzburg,Rapid Wien,1.51,5.2,LowVig.ag,4.4,2025-05-23 23:39:55
Austrian Football Bundesliga,2025-05-24 11:00:00,Sturm Graz,Wolfsberger AC,1.909,4.2,FanDuel,3.1,2025-05-23 23:39:55
Austrian Football Bundesliga,2025-05-24 11:00:00,Sturm Graz,Wolfsberger AC,1.952,3.9,BetMGM,3.25,2025-05-23 23:39:55
Austrian Football Bundesliga,2025-05-24 11:00:00,Sturm Graz,Wolfsberger AC,1.952,4.2,DraftKings,3.25,2025-05-23 23:39:55
Austrian Football Bundesliga,2025-05-24 11:00:00,Sturm Graz,Wolfsberger AC,1.952,3.95,Bovada,3.2,2025-05-23 23:39:55
Austrian Football Bundesliga,2025-05-24 11:00:00,Sturm Graz,Wolfsberger AC,1.885,3.95,BetRivers,3.45,2025-05-23 23:39:55
Austrian Football Bundesliga,2025-05-24 11:00:00,Sturm Graz,Wolfsberger AC,1.909,3.55,BetUS,3.1,2025-05-23 23:39:55
Austrian Football Bundesliga,2025-05-24 11:00:00,Sturm Graz,Wolfsberger AC,1.909,3.55,BetOnline.ag,3.1,2025-05-23 23:39:55
Austrian Football Bundesliga,2025-05-24 11:00:00,Sturm Graz,Wolfsberger AC,1.909,3.55,LowVig.ag,3.1,2025-05-23 23:39:55
Belgium First Div,2025-05-24 14:00:00,Charleroi,Leuven,1.69,4.6,DraftKings,4.0,2025-05-23 23:39:55
Belgium First Div,2025-05-24 14:00:00,Charleroi,Leuven,1.556,5.3,BetRivers,4.2,2025-05-23 23:39:55
Belgium First Div,2025-05-24 14:00:00,Charleroi,Leuven,1.645,4.8,BetMGM,4.1,2025-05-23 23:39:55
Belgium First Div,2025-05-24 14:00:00,Charleroi,Leuven,1.662,4.76,BetUS,4.02,2025-05-23 23:39:55
Belgium First Div,2025-05-24 14:00:00,Charleroi,Leuven,1.645,4.8,Bovada,3.9,2025-05-23 23:39:55
Belgium First Div,2025-05-24 14:00:00,Charleroi,Leuven,1.658,4.5,LowVig.ag,3.9,2025-05-23 23:39:55
Belgium First Div,2025-05-24 14:00:00,Charleroi,Leuven,1.658,4.5,BetOnline.ag,3.9,2025-05-23 23:39:55
Belgium First Div,2025-05-24 14:00:00,Dender,KV Mechelen,3.1,2.1,BetMGM,3.8,2025-05-23 23:39:55
Belgium First Div,2025-05-24 14:00:00,Dender,KV Mechelen,3.15,2.1,DraftKings,3.8,2025-05-23 23:39:55
Belgium First Div,2025-05-24 14:00:00,Dender,KV Mechelen,3.2,2.05,BetRivers,3.85,2025-05-23 23:39:55
Belgium First Div,2025-05-24 14:00:00,Dender,KV Mechelen,3.35,2.05,Bovada,3.6,2025-05-23 23:39:55
Belgium First Div,2025-05-24 14:00:00,Dender,KV Mechelen,2.95,2.14,LowVig.ag,3.65,2025-05-23 23:39:55
Belgium First Div,2025-05-24 14:00:00,Dender,KV Mechelen,2.95,2.14,BetUS,3.65,2025-05-23 23:39:55
Belgium First Div,2025-05-24 14:00:00,Dender,KV Mechelen,2.95,2.14,BetOnline.ag,3.65,2025-05-23 23:39:55
Belgium First Div,2025-05-24 14:00:00,Westerlo,Standard Liege,1.645,4.75,BetMGM,4.2,2025-05-23 23:39:55
Belgium First Div,2025-05-24 14:00:00,Westerlo,Standard Liege,1.625,4.7,DraftKings,4.1,2025-05-23 23:39:55
Belgium First Div,2025-05-24 14:00:00,Westerlo,Standard Liege,1.571,5.0,BetRivers,4.35,2025-05-23 23:39:55
Belgium First Div,2025-05-24 14:00:00,Westerlo,Standard Liege,1.667,4.6,Bovada,4.0,2025-05-23 23:39:55
Belgium First Div,2025-05-24 14:00:00,Westerlo,Standard Liege,1.645,4.6,BetUS,4.1,2025-05-23 23:39:55
Belgium First Div,2025-05-24 14:00:00,Westerlo,Standard Liege,1.658,4.35,LowVig.ag,4.05,2025-05-23 23:39:55
Belgium First Div,2025-05-24 14:00:00,Westerlo,Standard Liege,1.658,4.35,BetOnline.ag,4.05,2025-05-23 23:39:55
Denmark Superliga,2025-05-24 09:00:00,Lyngby,AaB,2.38,2.65,BetRivers,3.8,2025-05-23 23:39:55
Denmark Superliga,2025-05-24 09:00:00,Lyngby,AaB,2.35,2.5,FanDuel,3.7,2025-05-23 23:39:55
Denmark Superliga,2025-05-24 09:00:00,Lyngby,AaB,2.4,2.65,Bovada,3.55,2025-05-23 23:39:55
Denmark Superliga,2025-05-24 09:00:00,Lyngby,AaB,2.4,2.6,BetMGM,3.6,2025-05-23 23:39:55
Denmark Superliga,2025-05-24 09:00:00,Lyngby,AaB,2.45,2.65,DraftKings,3.7,2025-05-23 23:39:55
Denmark Superliga,2025-05-24 09:00:00,Lyngby,AaB,2.4,2.65,BetUS,3.55,2025-05-23 23:39:55
Denmark Superliga,2025-05-24 09:00:00,Lyngby,AaB,2.46,2.64,BetOnline.ag,3.8,2025-05-23 23:39:55
Denmark Superliga,2025-05-24 09:00:00,Lyngby,AaB,2.46,2.64,LowVig.ag,3.8,2025-05-23 23:39:55
Denmark Superliga,2025-05-24 09:00:00,Silkeborg IF,Viborg FF,2.7,2.32,BetRivers,3.9,2025-05-23 23:39:55
Denmark Superliga,2025-05-24 09:00:00,Silkeborg IF,Viborg FF,2.55,2.35,FanDuel,3.7,2025-05-23 23:39:55
Denmark Superliga,2025-05-24 09:00:00,Silkeborg IF,Viborg FF,2.65,2.35,Bovada,3.65,2025-05-23 23:39:55
Denmark Superliga,2025-05-24 09:00:00,Silkeborg IF,Viborg FF,2.65,2.45,DraftKings,3.75,2025-05-23 23:39:55
Denmark Superliga,2025-05-24 09:00:00,Silkeborg IF,Viborg FF,2.6,2.35,BetMGM,3.8,2025-05-23 23:39:55
Denmark Superliga,2025-05-24 09:00:00,Silkeborg IF,Viborg FF,2.67,2.43,BetUS,3.75,2025-05-23 23:39:55
Denmark Superliga,2025-05-24 09:00:00,Silkeborg IF,Viborg FF,2.67,2.43,LowVig.ag,3.75,2025-05-23 23:39:55
Denmark Superliga,2025-05-24 09:00:00,Silkeborg IF,Viborg FF,2.67,2.43,BetOnline.ag,3.75,2025-05-23 23:39:55
