Sport,Match Date,Home Team,Away Team,Home Score,Away Score,Status,Game ID
AFL,20250815,Essendon Bombers,St Kilda Saints,75,77,Completed,c02f684380bd8640120d1a74d7653abb
AFL,20250815,Fremantle Dockers,Brisbane Lions,44,101,Completed,668de5862fcab07d1f59969ed223842a
AFL,20250815,Gold Coast Suns,Greater Western Sydney Giants,,,Unknown,6fcd8bb6ca392f8526356b94a083d139
AFL,20250815,Carlton Blues,Port Adelaide Power,,,Unknown,29315184585576ffc48e1c3e249a3a8b
NRL,20250815,New Zealand Warriors,St George Illawarra Dragons,14,10,Completed,66c794f5d0906e339a0abc79452fb9ed
NRL,20250815,Sydney Roosters,Canterbury Bulldogs,32,12,Completed,46a1b2e8cd51673bafae645c11394abe
Primera División - Argentina,20250815,Aldosivi Mar del Plata,Belgrano de Cordoba,0,0,Completed,4d73aba481032efdcf302c1bef3d7656
Primera División - Argentina,20250815,Instituto de Córdoba,Union Santa Fe,0,4,Completed,9d5973139a235decc77e941104116c94
Primera División - Argentina,20250815,Racing Club,CA Tigre BA,1,2,Completed,4c21c3c10950f6708f40d922771e9692
Belgium First Div,20250815,Leuven,Genk,1,2,Completed,774488bb0e54714bc849df4833dddc60
Denmark Superliga,20250815,FC Nordsjaelland,FC Copenhagen,1,3,Completed,820dde81508dc825e68d3414036d227a
Denmark Superliga,20250815,FC Fredericia,SonderjyskE,3,2,Completed,48d6f59738c03bed5f54e1494fabd1b9
EPL,20250815,Liverpool,Bournemouth,4,2,Completed,f37021de21572159764157dbf2e5ae62
Ligue 1 - France,20250815,Rennes,Marseille,1,0,Completed,3416268fbd4e7145b06aee2a0d4051bb
Ligue 2 - France,20250815,Grenoble,Stade Lavallois,1,1,Completed,44f7cde6690790b62818d7404961a4bd
Ligue 2 - France,20250815,Nancy,Boulogne,1,0,Completed,4b581c6d3ff957c70a36ffd17e54988d
Ligue 2 - France,20250815,Clermont,Troyes,0,0,Completed,5bf94c419a1e9e64d7e159e57f4479f4
Ligue 2 - France,20250815,SC Bastia,Pau FC,1,1,Completed,943ef430015c47d7da993f1e61b45b35
Ligue 2 - France,20250815,Red Star,Amiens,1,3,Completed,5726a7e62d9087d2bf0d30c2390bcec8
Liga MX,20250815,Puebla,Atlético San Luis,0,2,Completed,1ce797d6510a9403c2277fee96afa16d
Liga MX,20250815,Necaxa,León,,,Unknown,02eb1fca158c7fef237a08f846f0125a
Dutch Eredivisie,20250815,SC Telstar,FC Zwolle,0,2,Completed,004512b5d9c0d9a8ea1f670fc555e0f3
Primeira Liga - Portugal,20250815,AVS Futebol SAD,Casa Pia,0,2,Completed,8120713b4284c31ef08eeb92a1db4cc9
La Liga - Spain,20250815,Girona,Rayo Vallecano,1,3,Completed,c4198d00081ef7586ec5088c547a23dd
La Liga - Spain,20250815,Villarreal,Oviedo,2,0,Completed,3723cad1a66e1ce8f0ef45f79a7c32bb
La Liga 2 - Spain,20250815,Burgos CF,Cultural Leonesa,5,1,Completed,d6fc3691a92f40c8a7f1a5ff44426909
La Liga 2 - Spain,20250815,Real Valladolid CF,AD Ceuta FC,3,0,Completed,620d2edc8ea60244c518f6fd1f558968
Turkey Super League,20250815,Galatasaray,Fatih Karagümrük,3,0,Completed,559ade21d8c837915f7d9840afbe2182
