Sport,Match Date,Home Team,Away Team,Home Team Odds,Away Team Odds,Bookmaker,Draw Odds,Compiled_At
NBA,2025-05-27 20:00:00,Indiana Pacers,New York Knicks,1.746,2.16,FanDuel,,2025-05-26 23:46:51
NBA,2025-05-27 20:00:00,Indiana Pacers,New York Knicks,1.741,2.14,DraftKings,,2025-05-26 23:46:51
NBA,2025-05-27 20:00:00,Indiana Pacers,New York Knicks,1.714,2.15,Fanatics,,2025-05-26 23:46:51
NBA,2025-05-27 20:00:00,Indiana Pacers,New York Knicks,1.758,2.12,BetOnline.ag,,2025-05-26 23:46:51
NBA,2025-05-27 20:00:00,Indiana Pacers,New York Knicks,1.741,2.15,Bovada,,2025-05-26 23:46:51
NBA,2025-05-27 20:00:00,Indiana Pacers,New York Knicks,1.769,2.14,LowVig.ag,,2025-05-26 23:46:51
NBA,2025-05-27 20:00:00,Indiana Pacers,New York Knicks,1.741,2.1,BetMGM,,2025-05-26 23:46:51
NBA,2025-05-27 20:00:00,Indiana Pacers,New York Knicks,1.769,2.1,Caesars,,2025-05-26 23:46:51
NBA,2025-05-27 20:00:00,Indiana Pacers,New York Knicks,1.746,2.14,BetRivers,,2025-05-26 23:46:51
NBA,2025-05-27 20:00:00,Indiana Pacers,New York Knicks,1.769,2.1,BetUS,,2025-05-26 23:46:51
NHL,2025-05-27 20:10:00,Edmonton Oilers,Dallas Stars,1.602,2.4,DraftKings,,2025-05-26 23:46:51
NHL,2025-05-27 20:10:00,Edmonton Oilers,Dallas Stars,1.625,2.32,FanDuel,,2025-05-26 23:46:51
NHL,2025-05-27 20:10:00,Edmonton Oilers,Dallas Stars,1.588,2.4,BetMGM,,2025-05-26 23:46:51
NHL,2025-05-27 20:10:00,Edmonton Oilers,Dallas Stars,1.637,2.4,LowVig.ag,,2025-05-26 23:46:51
NHL,2025-05-27 20:10:00,Edmonton Oilers,Dallas Stars,1.637,2.4,BetOnline.ag,,2025-05-26 23:46:51
NHL,2025-05-27 20:10:00,Edmonton Oilers,Dallas Stars,1.606,2.42,BetUS,,2025-05-26 23:46:51
NHL,2025-05-27 20:10:00,Edmonton Oilers,Dallas Stars,1.571,2.43,BetRivers,,2025-05-26 23:46:51
NHL,2025-05-27 20:10:00,Edmonton Oilers,Dallas Stars,1.625,2.35,Bovada,,2025-05-26 23:46:51
NHL,2025-05-27 20:10:00,Edmonton Oilers,Dallas Stars,1.588,2.4,Fanatics,,2025-05-26 23:46:51
NHL,2025-05-27 20:10:00,Edmonton Oilers,Dallas Stars,1.571,2.48,Caesars,,2025-05-26 23:46:51
Copa Libertadores,2025-05-27 18:00:00,Libertad Asuncion,Alianza Lima,1.8,4.6,BetRivers,3.55,2025-05-26 23:46:51
Copa Libertadores,2025-05-27 18:00:00,Libertad Asuncion,Alianza Lima,1.833,4.4,Bovada,3.3,2025-05-26 23:46:51
Copa Libertadores,2025-05-27 18:00:00,Libertad Asuncion,Alianza Lima,1.833,4.4,BetUS,3.3,2025-05-26 23:46:51
Copa Libertadores,2025-05-27 18:00:00,Libertad Asuncion,Alianza Lima,1.833,4.35,LowVig.ag,3.39,2025-05-26 23:46:51
Copa Libertadores,2025-05-27 18:00:00,Libertad Asuncion,Alianza Lima,1.833,4.35,BetOnline.ag,3.39,2025-05-26 23:46:51
Copa Libertadores,2025-05-27 18:00:00,Sao Paulo,Club Atletico Talleres,1.943,4.6,BetRivers,3.1,2025-05-26 23:46:51
Copa Libertadores,2025-05-27 18:00:00,Sao Paulo,Club Atletico Talleres,1.952,4.5,LowVig.ag,2.98,2025-05-26 23:46:51
Copa Libertadores,2025-05-27 18:00:00,Sao Paulo,Club Atletico Talleres,1.952,4.5,BetOnline.ag,2.98,2025-05-26 23:46:51
Copa Libertadores,2025-05-27 18:00:00,Sao Paulo,Club Atletico Talleres,1.962,4.66,BetUS,3.01,2025-05-26 23:46:51
Copa Libertadores,2025-05-27 20:30:00,Independiente del Valle,Barcelona SC,1.775,4.4,BetRivers,3.75,2025-05-26 23:46:51
Copa Libertadores,2025-05-27 20:30:00,Independiente del Valle,Barcelona SC,1.8,4.3,Bovada,3.55,2025-05-26 23:46:51
Copa Libertadores,2025-05-27 20:30:00,Independiente del Valle,Barcelona SC,1.8,4.3,BetUS,3.55,2025-05-26 23:46:51
Copa Libertadores,2025-05-27 20:30:00,Independiente del Valle,Barcelona SC,1.763,4.24,LowVig.ag,3.74,2025-05-26 23:46:51
Copa Libertadores,2025-05-27 20:30:00,Independiente del Valle,Barcelona SC,1.763,4.24,BetOnline.ag,3.74,2025-05-26 23:46:51
Copa Libertadores,2025-05-27 20:30:00,Botafogo,Universidad de Chile,1.556,6.25,BetRivers,4.0,2025-05-26 23:46:51
Copa Libertadores,2025-05-27 20:30:00,Botafogo,Universidad de Chile,1.541,6.0,Bovada,3.95,2025-05-26 23:46:51
Copa Libertadores,2025-05-27 20:30:00,Botafogo,Universidad de Chile,1.541,6.0,BetUS,3.95,2025-05-26 23:46:51
Copa Libertadores,2025-05-27 20:30:00,Botafogo,Universidad de Chile,1.526,5.95,LowVig.ag,4.05,2025-05-26 23:46:51
Copa Libertadores,2025-05-27 20:30:00,Botafogo,Universidad de Chile,1.526,5.95,BetOnline.ag,4.05,2025-05-26 23:46:51
Copa Libertadores,2025-05-27 20:30:00,Estudiantes La Plata,Carabobo FC,1.13,21.0,BetRivers,8.5,2025-05-26 23:46:51
Copa Libertadores,2025-05-27 20:30:00,Estudiantes La Plata,Carabobo FC,1.125,22.0,Bovada,7.5,2025-05-26 23:46:51
Copa Libertadores,2025-05-27 20:30:00,Estudiantes La Plata,Carabobo FC,1.1,19.79,BetUS,8.33,2025-05-26 23:46:51
Copa Libertadores,2025-05-27 20:30:00,Estudiantes La Plata,Carabobo FC,1.122,16.75,LowVig.ag,8.4,2025-05-26 23:46:51
Copa Libertadores,2025-05-27 20:30:00,Estudiantes La Plata,Carabobo FC,1.122,16.75,BetOnline.ag,8.4,2025-05-26 23:46:51
Copa Libertadores,2025-05-27 20:30:00,River Plate,Club Universitario de Deportes,1.408,8.0,BetRivers,4.6,2025-05-26 23:46:51
Copa Libertadores,2025-05-27 20:30:00,River Plate,Club Universitario de Deportes,1.4,7.5,Bovada,4.4,2025-05-26 23:46:51
Copa Libertadores,2025-05-27 20:30:00,River Plate,Club Universitario de Deportes,1.398,8.27,BetUS,4.4,2025-05-26 23:46:51
Copa Libertadores,2025-05-27 20:30:00,River Plate,Club Universitario de Deportes,1.408,7.5,LowVig.ag,4.4,2025-05-26 23:46:51
Copa Libertadores,2025-05-27 20:30:00,River Plate,Club Universitario de Deportes,1.408,7.5,BetOnline.ag,4.4,2025-05-26 23:46:51
Bundesliga 2 - Germany,2025-05-27 14:30:00,Eintracht Braunschweig,1. FC Saarbrücken,1.98,3.7,BetMGM,3.6,2025-05-26 23:46:51
Bundesliga 2 - Germany,2025-05-27 14:30:00,Eintracht Braunschweig,1. FC Saarbrücken,1.971,3.6,BetOnline.ag,3.64,2025-05-26 23:46:51
Bundesliga 2 - Germany,2025-05-27 14:30:00,Eintracht Braunschweig,1. FC Saarbrücken,1.971,3.6,LowVig.ag,3.64,2025-05-26 23:46:51
