Sport,Match Date,Home Team,Away Team,Home Score,Away Score,Status,Game ID
Test Matches,20250623,England,India,,,Unknown,d6d18f740f8de3dd30dbfd02edd5d6d0
League of Ireland,20250623,Bohemians,Shamrock Rovers,2,0,Completed,edd87146a2985cb65c196aa5076e6daf
League of Ireland,20250623,Cork City,Drogheda United,1,1,Completed,4cf79d6017b2e39ecafe84412b8ac303
League of Ireland,20250623,St Patricks Athletic,Derry City,0,1,Completed,0a25ce9217e889223493c8bfa570f5bc
League of Ireland,20250623,Sligo Rovers,Galway United,2,1,Completed,a644460b2d84c261490ecf5155c062c2
League of Ireland,20250623,Waterford FC,Shelbourne Dublin,2,2,Completed,a5a8ed442bfe6c6bb81f07194b478231
