Sport,Match Date,Home Team,Away Team,Home Score,Away Score,Status,Game ID
Test Matches,20250723,England,India,,,Unknown,e375c67fd9b795f665c8cf7ecdabb9d4
MMA,20250723,Caio Machado,Kevin Oumar,,,Unknown,50f270b0a8ba553ef49786c2367fce33
