Sport,Match Date,Home Team,Away Team,Home Score,Away Score,Status,Game ID
NBA,20250512,New York Knicks,Boston Celtics,121,113,Completed,16cb0525e908d238a3407ade6a978c6b
NBA,20250512,Golden State Warriors,Minnesota Timberwolves,,,Unknown,20752d4ddb00e71eb57379806aa7693f
NHL,20250512,Carolina Hurricanes,Washington Capitals,5,2,Completed,d2eaa7c28ff09082efecc68a6abf9095
NHL,20250512,Edmonton Oilers,Vegas Golden Knights,,,Unknown,2e582b23e4c9502edb96da529f9d2891
Primera División - Argentina,20250512,River Plate,Barracas Central,3,0,Completed,9abcd6b98e8726966e2dd9314bf2a060
Denmark Superliga,20250512,Vejle Boldklub,Lyngby,2,0,Completed,1b18164c4dd72834dcbaca801d5be017
Championship,20250512,Sheffield United,Bristol City,3,0,Completed,03d88e10312d3ea4b4c8ccd8598533de
Serie A - Italy,20250512,Venezia,Fiorentina,2,1,Completed,91aa413285b56027bf8d8530b4326570
Serie A - Italy,20250512,Atalanta BC,AS Roma,2,1,Completed,d10cd88092145c5cc79d6f45dbf65599
La Liga 2 - Spain,20250512,Granada CF,SD Eibar,0,2,Completed,317ef9e0ca4a93e7f108f145e1eecde0
Turkey Super League,20250512,Kayserispor,Antalyaspor,3,1,Completed,79568659e30d308cafb1cb3572976589
