Sport,Match Date,Home Team,Away Team,Home Score,Away Score,Status,Game ID
Basketball Euroleague,20250402,Fenerbahce SK,FC Barcelona Bàsquet,75,83,Completed,34c33f49a209a71d967d661ce88cd70e
NBA,20250402,Indiana Pacers,Charlotte Hornets,119,105,Completed,4b5af4eca91fd928b0e45616f6b4d326
NBA,20250402,Washington Wizards,Sacramento Kings,116,111,Completed,547d4357fdfce78a26ce9d5e177e4320
NBA,20250402,Cleveland Cavaliers,New York Knicks,124,105,Completed,c4fed13b53857518ceb32eda84d0ef39
NBA,20250402,Boston Celtics,Miami Heat,103,124,Completed,f32c5ba7796dce04cd132e1291f038d7
NBA,20250402,Houston Rockets,Utah Jazz,143,105,Completed,3cff0630a14feff1f96850e48ecd487b
NBA,20250402,Dallas Mavericks,Atlanta Hawks,120,118,Completed,f91462c98c164bb8765aaee95800b2a4
NBA,20250402,Denver Nuggets,San Antonio Spurs,106,113,Completed,b6c8b6493411b1228e3bd7185d1e6663
NBA,20250402,Oklahoma City Thunder,Detroit Pistons,,,Unknown,69f5c5788111d5dccd7204a627d8f17d
NBA,20250402,Los Angeles Clippers,New Orleans Pelicans,,,Unknown,ee00682f36c5b21cea5e62c309c37940
NCAAB,20250402,Boise State Broncos,Butler Bulldogs,100,93,Completed,0e4c66d68881ad29514b62ac71a7b14e
NCAAB,20250402,Georgetown Hoyas,Nebraska Cornhuskers,69,81,Completed,bc6c2529167530a6bf0ba51cf41ccfea
NHL,20250402,Carolina Hurricanes,Washington Capitals,5,1,Completed,5391cb719cde089ac3ac84734bc2853c
NHL,20250402,New York Rangers,Minnesota Wild,5,4,Completed,4becb015b7b5d01e490a525901d12af1
NHL,20250402,Toronto Maple Leafs,Florida Panthers,3,2,Completed,799da645c6ff0dda34f50d4e73677ab5
NHL,20250402,Chicago Blackhawks,Colorado Avalanche,,,Unknown,f33e406c3d998a310dae4df6d134f61a
NHL,20250402,Vancouver Canucks,Seattle Kraken,,,Unknown,d65b038e377d67afc1ec3d32d7ea6da7
Copa Libertadores,20250402,C.D. San Antonio Bulo Bulo,Olimpia Asunción,3,2,Completed,83e0fda1927bbc95d58c237b4ac5757c
Copa Libertadores,20250402,Velez Sarsfield,Peñarol Montevideo,2,1,Completed,1e5766598ad31fb9ffdb851706326acd
Copa Libertadores,20250402,Club Atletico Talleres,Sao Paulo,0,1,Completed,7f061ba0facd1010979d5aefe543555e
Copa Libertadores,20250402,Club Universitario de Deportes,River Plate,0,1,Completed,e32fbf21f8fda67b8b4a589b6386a401
Copa Libertadores,20250402,Atlético Nacional S.A,Nacional de Montevideo,,,Unknown,f0d5069145b6e68a0866406b91854051
Championship,20250402,Derby County,Preston North End,2,0,Completed,de88a87e15bb920e2fcd7d5aeadfc8cb
League 2,20250402,Notts County,Milton Keynes Dons,3,0,Completed,3324f5cd3b3698870da43f1234fda23d
EPL,20250402,Brighton and Hove Albion,Aston Villa,0,3,Completed,fcfcfeed8a0a5db2afe590a434b6bf51
EPL,20250402,Bournemouth,Ipswich Town,1,2,Completed,6171d46f2ccfe2ad1fb1c2564c4bc009
EPL,20250402,Newcastle United,Brentford,2,1,Completed,47b49e230866bc684d4253f18656a90a
EPL,20250402,Southampton,Crystal Palace,1,1,Completed,901f4d854b5d2d4818c48c61062d3f80
EPL,20250402,Manchester City,Leicester City,2,0,Completed,fffbca122b232839e180a57a5dd201a3
EPL,20250402,Liverpool,Everton,1,0,Completed,9c2df9d33f4ae9babac132a490ddd76d
Dutch Eredivisie,20250402,Feyenoord,Groningen,4,1,Completed,dd0b4194d16cca26bce95d5055c75a61
Primeira Liga - Portugal,20250402,Benfica,SC Farense,3,2,Completed,eb1b047a9180463cff5b70a713f94dee
Swiss Superleague,20250402,FC Zurich,FC Lausanne-Sport,2,2,Completed,3dfce694f324614923e99906d988e383
Swiss Superleague,20250402,FC Sion,FC Winterthur,1,2,Completed,434abaa33262e29201634e2245f36e23
