Sport,Match Date,Home Team,Away Team,Home Team Odds,Away Team Odds,Bookmaker,Compiled_At
NCAAB,2025-02-16 00:07:00,Hawai'i Rainbow Warriors,UC Irvine Anteaters,3.5,1.294,FanDuel,2025-02-16 05:12:50
NCAAB,2025-02-16 00:07:00,Hawai'i Rainbow Warriors,UC Irvine Anteaters,2.95,1.444,BetOnline.ag,2025-02-16 05:12:50
NCAAB,2025-02-16 00:07:00,Hawai'i Rainbow Warriors,UC Irvine Anteaters,2.95,1.444,LowVig.ag,2025-02-16 05:12:50
NCAAB,2025-02-16 00:07:00,Hawai'i Rainbow Warriors,UC Irvine Anteaters,2.75,1.461,MyBookie.ag,2025-02-16 05:12:50
NCAAB,2025-02-16 00:07:00,Hawai'i Rainbow Warriors,UC Irvine Anteaters,3.4,1.303,DraftKings,2025-02-16 05:12:50
NCAAB,2025-02-16 00:07:00,Hawai'i Rainbow Warriors,UC Irvine Anteaters,2.9,1.444,BetUS,2025-02-16 05:12:50
NCAAB,2025-02-16 00:07:00,Hawai'i Rainbow Warriors,UC Irvine Anteaters,3.25,1.323,Bovada,2025-02-16 05:12:50
NCAAB,2025-02-16 00:07:00,Hawai'i Rainbow Warriors,UC Irvine Anteaters,3.9,1.235,BetMGM,2025-02-16 05:12:50
NCAAB,2025-02-16 00:07:00,Hawai'i Rainbow Warriors,UC Irvine Anteaters,2.96,1.417,Caesars,2025-02-16 05:12:50
NCAAB,2025-02-16 00:07:00,Hawai'i Rainbow Warriors,UC Irvine Anteaters,2.8,1.364,BetRivers,2025-02-16 05:12:50
NCAAB,2025-02-16 00:07:00,Hawai'i Rainbow Warriors,UC Irvine Anteaters,3.1,1.351,Fanatics,2025-02-16 05:12:50
NCAAB,2025-02-16 12:00:00,Temple Owls,Florida Atlantic Owls,2.14,1.746,FanDuel,2025-02-16 05:12:50
NCAAB,2025-02-16 12:00:00,Temple Owls,Florida Atlantic Owls,2.2,1.704,DraftKings,2025-02-16 05:12:50
NCAAB,2025-02-16 12:00:00,Temple Owls,Florida Atlantic Owls,2.24,1.658,MyBookie.ag,2025-02-16 05:12:50
NCAAB,2025-02-16 12:00:00,Temple Owls,Florida Atlantic Owls,2.18,1.69,BetMGM,2025-02-16 05:12:50
NCAAB,2025-02-16 12:00:00,Temple Owls,Florida Atlantic Owls,2.18,1.714,Caesars,2025-02-16 05:12:50
NCAAB,2025-02-16 12:00:00,Temple Owls,Florida Atlantic Owls,2.12,1.735,BetRivers,2025-02-16 05:12:50
NCAAB,2025-02-16 12:00:00,Wichita St Shockers,Memphis Tigers,3.65,1.299,FanDuel,2025-02-16 05:12:50
NCAAB,2025-02-16 12:00:00,Wichita St Shockers,Memphis Tigers,3.57,1.3,MyBookie.ag,2025-02-16 05:12:50
NCAAB,2025-02-16 12:00:00,Wichita St Shockers,Memphis Tigers,3.35,1.345,DraftKings,2025-02-16 05:12:50
NCAAB,2025-02-16 12:00:00,Wichita St Shockers,Memphis Tigers,3.6,1.308,BetMGM,2025-02-16 05:12:50
NCAAB,2025-02-16 12:00:00,Wichita St Shockers,Memphis Tigers,3.4,1.328,Caesars,2025-02-16 05:12:50
NCAAB,2025-02-16 12:00:00,Wichita St Shockers,Memphis Tigers,3.65,1.29,BetRivers,2025-02-16 05:12:50
NCAAB,2025-02-16 12:00:00,Sacred Heart Pioneers,Siena Saints,1.833,2.0,FanDuel,2025-02-16 05:12:50
NCAAB,2025-02-16 12:00:00,Sacred Heart Pioneers,Siena Saints,1.8,2.02,MyBookie.ag,2025-02-16 05:12:50
NCAAB,2025-02-16 12:00:00,Sacred Heart Pioneers,Siena Saints,1.8,2.05,Caesars,2025-02-16 05:12:50
NCAAB,2025-02-16 12:00:00,Sacred Heart Pioneers,Siena Saints,1.8,2.05,DraftKings,2025-02-16 05:12:50
NCAAB,2025-02-16 12:00:00,Sacred Heart Pioneers,Siena Saints,1.8,2.05,BetMGM,2025-02-16 05:12:50
NCAAB,2025-02-16 12:00:00,Sacred Heart Pioneers,Siena Saints,1.826,2.0,BetRivers,2025-02-16 05:12:50
NCAAB,2025-02-16 13:00:00,Canisius Golden Griffins,Mt. St. Mary's Mountaineers,3.35,1.339,FanDuel,2025-02-16 05:12:50
NCAAB,2025-02-16 13:00:00,Canisius Golden Griffins,Mt. St. Mary's Mountaineers,3.55,1.3,MyBookie.ag,2025-02-16 05:12:50
NCAAB,2025-02-16 13:00:00,Canisius Golden Griffins,Mt. St. Mary's Mountaineers,3.5,1.312,Caesars,2025-02-16 05:12:50
NCAAB,2025-02-16 13:00:00,Canisius Golden Griffins,Mt. St. Mary's Mountaineers,3.5,1.323,DraftKings,2025-02-16 05:12:50
NCAAB,2025-02-16 13:00:00,Canisius Golden Griffins,Mt. St. Mary's Mountaineers,3.4,1.333,BetMGM,2025-02-16 05:12:50
NCAAB,2025-02-16 13:00:00,Canisius Golden Griffins,Mt. St. Mary's Mountaineers,3.65,1.29,BetRivers,2025-02-16 05:12:50
NCAAB,2025-02-16 13:00:00,Ohio State Buckeyes,Michigan Wolverines,1.676,2.24,DraftKings,2025-02-16 05:12:50
NCAAB,2025-02-16 13:00:00,Ohio State Buckeyes,Michigan Wolverines,1.61,2.33,MyBookie.ag,2025-02-16 05:12:50
NCAAB,2025-02-16 13:00:00,Ohio State Buckeyes,Michigan Wolverines,1.667,2.23,BetRivers,2025-02-16 05:12:50
NCAAB,2025-02-16 13:00:00,Ohio State Buckeyes,Michigan Wolverines,1.746,2.12,FanDuel,2025-02-16 05:12:50
NCAAB,2025-02-16 13:00:00,Ohio State Buckeyes,Michigan Wolverines,1.69,2.22,Caesars,2025-02-16 05:12:50
NCAAB,2025-02-16 13:00:00,Ohio State Buckeyes,Michigan Wolverines,1.667,2.25,BetMGM,2025-02-16 05:12:50
NCAAB,2025-02-16 14:00:00,Drake Bulldogs,Bradley Braves,1.357,3.25,FanDuel,2025-02-16 05:12:50
NCAAB,2025-02-16 14:00:00,Drake Bulldogs,Bradley Braves,1.35,3.23,MyBookie.ag,2025-02-16 05:12:50
NCAAB,2025-02-16 14:00:00,Drake Bulldogs,Bradley Braves,1.328,3.4,Caesars,2025-02-16 05:12:50
NCAAB,2025-02-16 14:00:00,Drake Bulldogs,Bradley Braves,1.336,3.4,DraftKings,2025-02-16 05:12:50
NCAAB,2025-02-16 14:00:00,Drake Bulldogs,Bradley Braves,1.333,3.4,BetMGM,2025-02-16 05:12:50
NCAAB,2025-02-16 14:00:00,Drake Bulldogs,Bradley Braves,1.351,3.3,Fanatics,2025-02-16 05:12:50
NCAAB,2025-02-16 14:00:00,Drake Bulldogs,Bradley Braves,1.328,3.4,BetRivers,2025-02-16 05:12:50
NCAAB,2025-02-16 14:00:00,Cleveland St Vikings,Youngstown St Penguins,1.571,2.43,MyBookie.ag,2025-02-16 05:12:50
NCAAB,2025-02-16 14:00:00,Cleveland St Vikings,Youngstown St Penguins,1.602,2.38,FanDuel,2025-02-16 05:12:50
NCAAB,2025-02-16 14:00:00,Cleveland St Vikings,Youngstown St Penguins,1.521,2.6,DraftKings,2025-02-16 05:12:50
NCAAB,2025-02-16 14:00:00,Cleveland St Vikings,Youngstown St Penguins,1.556,2.45,BetMGM,2025-02-16 05:12:50
NCAAB,2025-02-16 14:00:00,Cleveland St Vikings,Youngstown St Penguins,1.571,2.4,BetRivers,2025-02-16 05:12:50
NCAAB,2025-02-16 14:00:00,Fairfield Stags,Manhattan Jaspers,2.28,1.649,FanDuel,2025-02-16 05:12:50
NCAAB,2025-02-16 14:00:00,Fairfield Stags,Manhattan Jaspers,2.22,1.69,Caesars,2025-02-16 05:12:50
NCAAB,2025-02-16 14:00:00,Fairfield Stags,Manhattan Jaspers,2.24,1.676,DraftKings,2025-02-16 05:12:50
NCAAB,2025-02-16 14:00:00,Fairfield Stags,Manhattan Jaspers,2.25,1.667,BetMGM,2025-02-16 05:12:50
NCAAB,2025-02-16 14:00:00,Fairfield Stags,Manhattan Jaspers,2.28,1.641,MyBookie.ag,2025-02-16 05:12:50
NCAAB,2025-02-16 14:00:00,Fairfield Stags,Manhattan Jaspers,2.32,1.617,BetRivers,2025-02-16 05:12:50
NCAAB,2025-02-16 14:00:00,Quinnipiac Bobcats,Iona Gaels,1.312,3.55,FanDuel,2025-02-16 05:12:50
NCAAB,2025-02-16 14:00:00,Quinnipiac Bobcats,Iona Gaels,1.34,3.31,MyBookie.ag,2025-02-16 05:12:50
NCAAB,2025-02-16 14:00:00,Quinnipiac Bobcats,Iona Gaels,1.312,3.5,Caesars,2025-02-16 05:12:50
NCAAB,2025-02-16 14:00:00,Quinnipiac Bobcats,Iona Gaels,1.323,3.5,DraftKings,2025-02-16 05:12:50
NCAAB,2025-02-16 14:00:00,Quinnipiac Bobcats,Iona Gaels,1.333,3.4,BetMGM,2025-02-16 05:12:50
NCAAB,2025-02-16 14:00:00,Quinnipiac Bobcats,Iona Gaels,1.333,3.4,Fanatics,2025-02-16 05:12:50
NCAAB,2025-02-16 14:00:00,Quinnipiac Bobcats,Iona Gaels,1.35,3.25,BetRivers,2025-02-16 05:12:50
NCAAB,2025-02-16 14:00:00,Merrimack Warriors,Marist Red Foxes,1.61,2.36,FanDuel,2025-02-16 05:12:50
NCAAB,2025-02-16 14:00:00,Merrimack Warriors,Marist Red Foxes,1.521,2.55,MyBookie.ag,2025-02-16 05:12:50
NCAAB,2025-02-16 14:00:00,Merrimack Warriors,Marist Red Foxes,1.526,2.58,Caesars,2025-02-16 05:12:50
NCAAB,2025-02-16 14:00:00,Merrimack Warriors,Marist Red Foxes,1.556,2.5,DraftKings,2025-02-16 05:12:50
NCAAB,2025-02-16 14:00:00,Merrimack Warriors,Marist Red Foxes,1.541,2.5,BetMGM,2025-02-16 05:12:50
NCAAB,2025-02-16 14:00:00,Merrimack Warriors,Marist Red Foxes,1.513,2.55,BetRivers,2025-02-16 05:12:50
NCAAB,2025-02-16 14:00:00,Saint Peter's Peacocks,Rider Broncs,1.521,2.58,FanDuel,2025-02-16 05:12:50
NCAAB,2025-02-16 14:00:00,Saint Peter's Peacocks,Rider Broncs,1.51,2.57,MyBookie.ag,2025-02-16 05:12:50
NCAAB,2025-02-16 14:00:00,Saint Peter's Peacocks,Rider Broncs,1.488,2.7,DraftKings,2025-02-16 05:12:50
