Sport,Match Date,Home Team,Away Team,Home Score,Away Score,Status,Game ID
AFL,20250620,Geelong Cats,Brisbane Lions,51,92,Completed,ece53efd2cdfbc77dec989c17e891123
AFL,20250620,Carlton Blues,North Melbourne Kangaroos,,,Unknown,a48c74cb70ab84ca59e94f7290b9bec6
Boxing,20250620,Leonardo Ruiz,Jarrod Tennant,,,Unknown,b8ee2bde13eedab371b607bd8860b97f
Test Matches,20250620,Sri Lanka,Bangladesh,,,Unknown,cd49f79317434521cc39b218ba346266
Test Matches,20250620,England,India,,,Unknown,2265a9738ca4d7e00d5a5d746ce44f63
NRL,20250620,Wests Tigers,Canberra Raiders,12,16,Completed,5c4be637db4dc7a7ff5f7633fc06d232
League of Ireland,20250620,Waterford FC,Bohemians,2,1,Completed,9eacde1f0c73273bc9996f215ff75970
League of Ireland,20250620,Galway United,St Patricks Athletic,3,1,Completed,c8dda8325000097328430b7af17f25c1
League of Ireland,20250620,Shamrock Rovers,Cork City,4,1,Completed,68c50d78b0eaac2fe0abb6b19f1d6d46
League of Ireland,20250620,Drogheda United,Sligo Rovers,1,0,Completed,76e79fad1f2ad35d8376359ac1d0209e
League of Ireland,20250620,Shelbourne Dublin,Derry City,0,1,Completed,e427dd8a23fcbe5c3cdf2d12820e299f
