Sport,Match Date,Home Team,Away Team,Home Team Odds,Away Team Odds,Bookmaker,Draw Odds,Compiled_At
Primera División - Argentina,2025-07-14 15:30:00,Deportivo Riestra,Lanus,3.4,2.3,FanDuel,2.7,2025-07-13 00:03:37
Primera División - Argentina,2025-07-14 15:30:00,Deportivo Riestra,Lanus,3.25,2.4,BetRivers,2.75,2025-07-13 00:03:37
Primera División - Argentina,2025-07-14 15:30:00,Deportivo Riestra,Lanus,3.5,2.4,DraftKings,2.7,2025-07-13 00:03:37
Primera División - Argentina,2025-07-14 15:30:00,Deportivo Riestra,Lanus,3.4,2.36,Bovada,2.75,2025-07-13 00:03:37
Primera División - Argentina,2025-07-14 15:30:00,Deportivo Riestra,Lanus,3.5,2.3,BetMGM,2.75,2025-07-13 00:03:37
Primera División - Argentina,2025-07-14 15:30:00,Deportivo Riestra,Lanus,3.74,2.46,BetOnline.ag,2.66,2025-07-13 00:03:37
Primera División - Argentina,2025-07-14 15:30:00,Deportivo Riestra,Lanus,3.74,2.46,LowVig.ag,2.66,2025-07-13 00:03:37
Primera División - Argentina,2025-07-14 18:00:00,Banfield,Defensa y Justicia,2.32,3.2,Bovada,2.95,2025-07-13 00:03:37
Primera División - Argentina,2025-07-14 18:00:00,Banfield,Defensa y Justicia,2.35,3.1,FanDuel,2.9,2025-07-13 00:03:37
Primera División - Argentina,2025-07-14 18:00:00,Banfield,Defensa y Justicia,2.2,3.3,BetRivers,3.0,2025-07-13 00:03:37
Primera División - Argentina,2025-07-14 18:00:00,Banfield,Defensa y Justicia,2.4,3.05,DraftKings,3.05,2025-07-13 00:03:37
Primera División - Argentina,2025-07-14 18:00:00,Banfield,Defensa y Justicia,2.35,3.1,BetMGM,3.0,2025-07-13 00:03:37
Primera División - Argentina,2025-07-14 18:00:00,Banfield,Defensa y Justicia,2.45,3.12,BetOnline.ag,3.11,2025-07-13 00:03:37
Primera División - Argentina,2025-07-14 18:00:00,Banfield,Defensa y Justicia,2.45,3.12,LowVig.ag,3.11,2025-07-13 00:03:37
Primera División - Argentina,2025-07-14 20:15:00,Velez Sarsfield BA,CA Tigre BA,2.17,3.8,Bovada,2.78,2025-07-13 00:03:37
Primera División - Argentina,2025-07-14 20:15:00,Velez Sarsfield BA,CA Tigre BA,2.15,3.9,FanDuel,2.7,2025-07-13 00:03:37
Primera División - Argentina,2025-07-14 20:15:00,Velez Sarsfield BA,CA Tigre BA,2.06,3.8,BetRivers,2.88,2025-07-13 00:03:37
Primera División - Argentina,2025-07-14 20:15:00,Velez Sarsfield BA,CA Tigre BA,2.25,3.8,DraftKings,2.8,2025-07-13 00:03:37
Primera División - Argentina,2025-07-14 20:15:00,Velez Sarsfield BA,CA Tigre BA,2.15,3.9,BetMGM,2.8,2025-07-13 00:03:37
Primera División - Argentina,2025-07-14 20:15:00,Velez Sarsfield BA,CA Tigre BA,2.27,3.93,BetOnline.ag,2.82,2025-07-13 00:03:37
Primera División - Argentina,2025-07-14 20:15:00,Velez Sarsfield BA,CA Tigre BA,2.27,3.93,LowVig.ag,2.82,2025-07-13 00:03:37
Primera División - Argentina,2025-07-14 20:15:00,Union Santa Fe,Estudiantes,2.62,2.8,Bovada,2.9,2025-07-13 00:03:37
Primera División - Argentina,2025-07-14 20:15:00,Union Santa Fe,Estudiantes,2.55,2.85,FanDuel,2.85,2025-07-13 00:03:37
Primera División - Argentina,2025-07-14 20:15:00,Union Santa Fe,Estudiantes,2.55,2.75,BetRivers,3.05,2025-07-13 00:03:37
Primera División - Argentina,2025-07-14 20:15:00,Union Santa Fe,Estudiantes,2.65,2.85,DraftKings,2.95,2025-07-13 00:03:37
Primera División - Argentina,2025-07-14 20:15:00,Union Santa Fe,Estudiantes,2.6,2.8,BetMGM,3.0,2025-07-13 00:03:37
Primera División - Argentina,2025-07-14 20:15:00,Union Santa Fe,Estudiantes,2.68,2.95,BetOnline.ag,2.96,2025-07-13 00:03:37
Primera División - Argentina,2025-07-14 20:15:00,Union Santa Fe,Estudiantes,2.68,2.95,LowVig.ag,2.96,2025-07-13 00:03:37
