Sport,Match Date,Home Team,Away Team,Home Score,Away Score,Status,Game ID
AFL,20250418,North Melbourne Kangaroos,Carlton Blues,71,153,Completed,362c56154f4ab2210b622f12101d77b5
AFL,20250418,West Coast Eagles,Essendon Bombers,75,77,Completed,8d46af4002750952ec7096de510b1224
AFL,20250418,Melbourne Demons,Fremantle Dockers,,,Unknown,abd71e8471c856b23f019380c944fe4c
Basketball Euroleague,20250418,Real Madrid,FC Bayern München,93,71,Completed,8ca852b5ce16a1cbf2b8b5ef93cd7b03
NBA,20250418,Atlanta Hawks,Miami Heat,114,123,Completed,12dc44254241ed056efce1e548888c26
NBA,20250418,Memphis Grizzlies,Dallas Mavericks,,,Unknown,788fb38defa5d0362ec330415a902b54
NRL,20250418,Canterbury Bulldogs,South Sydney Rabbitohs,32,0,Completed,a7d97ca53d19a154100b558bc8828b93
NRL,20250418,Dolphins,Melbourne Storm,42,22,Completed,c25c3fb9f793e727311f5d5d13323b77
Primera División - Argentina,20250418,Gimnasia La Plata,River Plate,0,3,Completed,554362cd0539e3fc9888f3dee5802d62
Primera División - Argentina,20250418,Racing Club,Central Córdoba,1,0,Completed,029b17e3531d04f1377ff7b0b1686c06
Primera División - Argentina,20250418,Talleres,Velez Sarsfield BA,0,1,Completed,f1e2c066ef7f2c86ad3bd0fc01dc8c66
Primera División - Argentina,20250418,Union Santa Fe,Newells Old Boys,1,1,Completed,c5333b12d1f413e78729a68eb32d0f48
A-League,20250418,Adelaide United,Wellington Phoenix FC,3,2,Completed,8f161ea2a0def72ac36eeef7efe2505a
Austrian Football Bundesliga,20250418,LASK,WSG Tirol,2,0,Completed,390c592e3f7982e64ea668608ad33616
Denmark Superliga,20250418,Brondby IF,FC Nordsjaelland,0,0,Completed,9513f55b488efb646f0483aa2dd92f23
Championship,20250418,Derby County,Luton,0,1,Completed,a682c1a8101c8908191414134afd5400
Championship,20250418,Blackburn Rovers,Millwall,4,1,Completed,8e4c11e29dda8f39c7bd0fda09daae47
Championship,20250418,Bristol City,Sunderland,2,1,Completed,cd492dbce91237144d9c6f7f04eaf054
Championship,20250418,Watford,Burnley,1,2,Completed,ff6f2e3cc4811869066fa56bdbd756df
Championship,20250418,Coventry City,West Bromwich Albion,2,0,Completed,5f260a5548a2f0c07d77038af1d8ae87
Championship,20250418,Swansea City,Hull City,1,0,Completed,bd06dd659470d7f0e8fc5544d8be7516
Championship,20250418,Middlesbrough,Plymouth Argyle,2,1,Completed,d5d2e7d9a49b46c1c0b08305f2c349e5
Championship,20250418,Norwich City,Portsmouth,3,5,Completed,df17e1c9ac05329097275c99d9af6974
Championship,20250418,Preston North End,Queens Park Rangers,1,2,Completed,c25248e99a693b2a72d3ced7e89a3df7
