Sport,Match Date,Home Team,Away Team,Home Score,Away Score,Status,Game ID
AFL,20250626,Port Adelaide Power,Carlton Blues,110,60,Completed,8287c291212af8b09938ba45d0e88222
Test Matches,20250626,Sri Lanka,Bangladesh,,,Unknown,e97d6fcee123cfbeee89cec1984d99f7
Test Matches,20250626,West Indies,Australia,,,Unknown,5334079a677ac797a87228fe704db047
NRL,20250626,Penrith Panthers,Canterbury Bulldogs,8,6,Completed,c8c51a4784935e4e0bead6614de4ada3
