Sport,Match Date,Home Team,Away Team,Home Score,Away Score,Status,Game ID
NBA,20250428,Miami Heat,Cleveland Cavaliers,83,138,Completed,32d285715ef87d49b04641e1d07538fd
NBA,20250428,Golden State Warriors,Houston Rockets,,,Unknown,a8e5f48bdd920b6bcabd4414b6260f9e
Test Matches,20250428,Bangladesh,Zimbabwe,,,Unknown,e65eb77748cc4bf9c5a802c4b7c8f7d5
NHL,20250428,Florida Panthers,Tampa Bay Lightning,4,2,Completed,4dae2703d2ee1d60c94c67eeb0ac98d3
NHL,20250428,Dallas Stars,Colorado Avalanche,,,Unknown,c9aec1523c0121328da93212dea981b0
Primera División - Argentina,20250428,Barracas Central,Union Santa Fe,2,1,Completed,70858142ac232806b0e268ecc5d47238
Primera División - Argentina,20250428,Godoy Cruz,Atlético Tucuman,1,0,Completed,1de5601d7464da5695a3cc9aff35bad2
Primera División - Argentina,20250428,Defensa y Justicia,Racing Club,1,2,Completed,b662df650bc79610894c704f6b1d956c
Primera División - Argentina,20250428,Estudiantes,CA Tigre BA,0,0,Completed,6b9b445352eba2c6175a512d65c7939c
Primera División - Argentina,20250428,Central Córdoba,Independiente Rivadavia,1,2,Completed,cd5d350a34adc2222f387d34fc6a313e
Primera División - Argentina,20250428,Velez Sarsfield BA,Gimnasia La Plata,1,0,Completed,d4b3f9ccda374ae4edf7ee26257348c1
Denmark Superliga,20250428,AaB,Vejle Boldklub,0,1,Completed,ec8fc07fdd42a0bfe791c00d0fbb06e4
Championship,20250428,Leeds United,Bristol City,4,0,Completed,41ddfec58735740106cbbbf4bc07d692
Super League - Greece,20250428,Panetolikos Agrinio,Athens Kallithea FC,0,1,Completed,1ba9696486a332d1348d0a56016b9abd
Super League - Greece,20250428,Levadiakos,PAS Lamia 1964,0,0,Completed,5b557c388388b2f8cb1ab2a5c13b5870
Super League - Greece,20250428,Volos FC,Panserraikos FC,3,0,Completed,2c240c79c92180b3bd8567d05cd5da86
Serie A - Italy,20250428,Udinese,Bologna,0,0,Completed,c1fee5a58b6f3de1af21075fc91a713f
Serie A - Italy,20250428,Lazio,Parma,2,2,Completed,620e399d26c6750585c00402d3c5cfd3
Serie A - Italy,20250428,Hellas Verona,Cagliari,0,2,Completed,6d279f1ce404fa86df4cd4d086eebd7f
La Liga 2 - Spain,20250428,Almería,Racing de Ferrol,,,Unknown,057b37f24f442309e2c29f14342a0758
Turkey Super League,20250428,Goztepe,Basaksehir,4,1,Completed,51504d4a586f5ae24796eeabfb80e82f
